,time,prs_tur_down,prs_thr_up_sp,prs_sp_bpa,prs_bpa,prs_thr_up,fup_mes,soi_main1_chk_tu[4],prs_eg[0],soi_main1_chk_tu[3],soi_main1_chk_tu[2],soi_main1_chk_tu[5],poil,prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[1],map,prs_bpa_dif,egbp_mes[0],prs_cmpr_down,prs_up_cmp_prot[0],amp_mes,pfu_mes,pfu_l_mes,map_mes,prs_thr_down,n,fup,soi_main1,soi_main1_chk_tu[0],soi_main1_tu,fup_sp,soi_main1_bas
time,1.0,-0.08112195998684753,0.4866694039670872,0.4866694039670872,0.4866694039670872,0.5325127196496712,-0.004099782955210429,0.0031435229874834628,0.008913934703480977,0.04177885426764007,0.006969844777965609,0.010301244195643895,-0.0028124993813656496,-0.09121413523396482,0.008913934703480977,-0.005525823774983533,0.6013810554286732,-0.47110830597656045,0.028947194700468155,0.566533454830204,-0.07939599207835381,-0.09180580090932319,0.005159301934540901,-0.16012651926281787,0.6142674185755643,0.4703316230876948,0.011967442038449941,0.004972259218928513,0.00559610389661474,0.02928377239257382,0.005620130722574946,0.007246899900412963,0.028021641634604126
prs_tur_down,-0.08112195998684753,1.0,-0.03790412489958914,-0.03790412489958914,-0.03790412489958914,-0.04320877717156293,0.03085973876629955,-0.004826846635877326,-0.006146254974568725,0.0036075356057470166,0.0173847011455273,-0.007299421181078501,-0.02972209739111209,0.7842558417288595,-0.006146254974568725,-0.01429785380603673,-0.04415148425425636,0.030805038359359774,0.015813862977076508,-0.04520068872521104,0.6364923028350316,0.7162929381917188,0.010632904223871748,0.023260275596436963,-0.05062956840893463,-0.03667371628097761,-0.01955859605320452,-0.017276726463977665,-0.023665077890658352,-0.016544699589202957,-0.024679028731657896,-0.00478792005468958,-0.01779415748464251
prs_thr_up_sp,0.4866694039670872,-0.03790412489958914,1.0,1.0,1.0,0.8772859809345416,0.02839760477688039,-0.021946526772577205,0.0428996066117139,0.005442288506207589,-0.008529529342306141,-0.007602098244954817,-0.03179034186522134,-0.04552193577146294,0.0428996066117139,-0.004554443197360754,0.6624045635175267,-0.7352150481667451,0.06689191471681845,0.6643224777687784,-0.04911317638667808,-0.0474287697149019,0.04495719446248496,-0.14363751670329564,0.7106568213887371,0.5733905475948344,-0.006437031429823231,0.05324515312363707,-0.010215959626873475,0.03028516805174273,-0.0038333001802255,-0.011250889640587996,-0.00215735631403778
prs_sp_bpa,0.4866694039670872,-0.03790412489958914,1.0,1.0,1.0,0.8772859809345416,0.02839760477688039,-0.021946526772577205,0.0428996066117139,0.005442288506207589,-0.008529529342306141,-0.007602098244954817,-0.03179034186522134,-0.04552193577146294,0.0428996066117139,-0.004554443197360754,0.6624045635175267,-0.7352150481667451,0.06689191471681845,0.6643224777687784,-0.04911317638667808,-0.0474287697149019,0.04495719446248496,-0.14363751670329564,0.7106568213887371,0.5733905475948344,-0.006437031429823231,0.05324515312363707,-0.010215959626873475,0.03028516805174273,-0.0038333001802255,-0.011250889640587996,-0.00215735631403778
prs_bpa,0.4866694039670872,-0.03790412489958914,1.0,1.0,1.0,0.8772859809345416,0.02839760477688039,-0.021946526772577205,0.0428996066117139,0.005442288506207589,-0.008529529342306141,-0.007602098244954817,-0.03179034186522134,-0.04552193577146294,0.0428996066117139,-0.004554443197360754,0.6624045635175267,-0.7352150481667451,0.06689191471681845,0.6643224777687784,-0.04911317638667808,-0.0474287697149019,0.04495719446248496,-0.14363751670329564,0.7106568213887371,0.5733905475948344,-0.006437031429823231,0.05324515312363707,-0.010215959626873475,0.03028516805174273,-0.0038333001802255,-0.011250889640587996,-0.00215735631403778
prs_thr_up,0.5325127196496712,-0.04320877717156293,0.8772859809345416,0.8772859809345416,0.8772859809345416,1.0,0.0072045070197018085,-0.034268745437217044,0.039858404233692406,0.01719855308055343,-0.009055170138358158,-0.025170422311406173,-0.023713682467532648,-0.044347954648088404,0.039858404233692406,-0.018807969260042478,0.7333451757744693,-0.6098034119340068,0.0851345974978231,0.7012778520095339,-0.053230204087372036,-0.049726145353269344,0.01705759569635939,-0.11945843274628579,0.785915023137232,0.6463805575025795,-0.014583141656443765,0.007237765756345311,-0.01780622724959815,0.025376808666143773,-0.012749575282785485,-0.03274954017294895,-0.016391947032122517
fup_mes,-0.004099782955210429,0.03085973876629955,0.02839760477688039,0.02839760477688039,0.02839760477688039,0.0072045070197018085,1.0,-0.26003143058843753,-0.5502414487295043,0.07138012701898289,0.48197908652646,-0.4760687563732092,-0.0013561279934326508,0.01453357699660816,-0.5502414487295043,0.1467407828380373,-0.006877336357660869,-0.01933200111160985,0.5515482260781757,-0.008231307754402955,0.015040869339719426,0.020143088760098835,-0.2432993446247595,-0.040376988157893166,0.033613730525922654,0.013633349266940337,-0.042430528745070396,0.025927847702113555,-0.03993162994616991,-0.21054903404527037,-0.04230923871634813,-0.5095275849162002,-0.38227876169771874
soi_main1_chk_tu[4],0.0031435229874834628,-0.004826846635877326,-0.021946526772577205,-0.021946526772577205,-0.021946526772577205,-0.034268745437217044,-0.26003143058843753,1.0,0.4559907224077941,0.17359361891341404,-0.31568254530768824,0.3475865807122894,-0.013046040804113375,0.0036910762361351225,0.4559907224077941,-0.31726156610790085,-0.007009036857739756,-0.019330387637660817,-0.5187377230744384,0.01105380076839115,0.0030228700829479744,0.0026598758739539443,-0.15611019840291,-0.004693535838133853,-0.0526503468816892,-0.01639844288542828,0.06884519942863243,0.03083440018826098,0.08427297018343771,-0.19263758704502915,0.0849321245150669,0.4166190374701417,0.13046598463842757
prs_eg[0],0.008913934703480977,-0.006146254974568725,0.0428996066117139,0.0428996066117139,0.0428996066117139,0.039858404233692406,-0.5502414487295043,0.4559907224077941,1.0,-0.054151103751898785,-0.6935479147711399,0.772539628777316,0.0010125769183098687,0.018690650040774866,1.0,-0.29741250151067233,0.039330457539822984,-0.05042603535541343,-0.8855595654201646,0.04333799007997793,-0.002512150133358025,0.009334447295768784,0.2143506769574548,0.06627490079941502,0.02333722991323537,0.014938067029601543,0.11173999793026156,0.015429617692004419,0.0897330768710102,0.369583977862543,0.0944381533746846,0.8079196326934073,0.685485109868952
soi_main1_chk_tu[3],0.04177885426764007,0.0036075356057470166,0.005442288506207589,0.005442288506207589,0.005442288506207589,0.01719855308055343,0.07138012701898289,0.17359361891341404,-0.054151103751898785,1.0,0.2554734707691979,-0.22222910725037112,0.007368374991554727,0.017205080724312056,-0.05415110375189875,-0.19962610456850277,-0.025606640512864473,0.012557574228305389,0.1372370534762142,-0.024567963136589637,0.00021795333492417726,0.0019935222034883895,-0.2661268820168055,-0.07159781480899041,-0.014649526815917786,-0.005711912879031386,0.041959545738602104,0.01791160336379591,0.03271787169550112,-0.2249855489913054,0.034542821114521484,-0.1848808136369861,-0.22733746439420596
