,time,prs_bpa,prs_thr_up,fup_mes,prs_sp_bpa,prs_thr_up_sp,prs_tur_down,soi_main1_chk_tu[5],soi_main1_chk_tu[1],soi_main1_chk_tu[2],prs_eg_mes[0],prs_eg[0],poil,soi_main1_chk_tu[3],prs_cmpr_up,soi_main1_chk_tu[4],map,prs_cmpr_down,egbp_mes[0],prs_bpa_dif,pfu_l_mes,map_mes,pfu_mes,prs_up_cmp_prot[0],amp_mes,fup,n,soi_main1,prs_thr_down,soi_main1_tu,soi_main1_chk_tu[0],soi_main1_bas,fup_sp
time,1.0,0.13886672815484669,0.13800601824392658,-0.5440668619241013,0.13886672815484669,0.13886672815484669,0.13834358140346253,-0.06849409142505114,-0.09154376438511387,-0.04848021857833569,-0.5971671910407013,-0.5971671910407013,0.038446061522083255,-0.04254148103670046,0.16166822539989004,-0.011259998724601145,0.19257969186882362,0.18365184399129306,-0.5934185846515552,-0.18242966988071785,0.11851581580589089,-0.6044893875992666,-0.5404490537904373,0.18349348225647225,0.18301962859694,-0.5504854184095977,-0.01659316162541462,-0.061365136108795536,0.16719656462985438,-0.0636380283562128,-0.12060945133057485,-0.09534107698224713,-0.5509062938723824
prs_bpa,0.13886672815484669,1.0,0.9911420828362527,-0.10979588706050868,1.0,1.0,0.994990511659757,-0.010939227873595185,-0.01684588671727846,-0.00018387003782353964,-0.10490606261217225,-0.10490606261217225,-0.009877180281253355,-0.009859638527904181,0.853595984254671,0.005048074976011126,0.7179496882495117,0.7568199649489639,-0.10648350400865861,-0.752529623825273,0.030919455191904956,-0.11350128776520284,-0.10271171722429016,0.7564883765440611,0.8275464406645507,-0.10720824892950981,0.006323820812482379,-0.017450186350240236,0.8186474705461131,-0.018544541331770525,-0.028064481588801107,-0.01671720113919984,-0.10759750191178476
prs_thr_up,0.13800601824392658,0.9911420828362527,1.0,-0.10884690634005863,0.99114208283625,0.99114208283625,0.9961451912343532,-0.010804820127301103,-0.015701535726678054,-0.0006516544172454432,-0.10367384010762286,-0.10367384010762286,-0.010676999176857618,-0.01082896355404237,0.8601167836825705,0.0045076764584278325,0.7172438941772584,0.7522508722257837,-0.10514691066516806,-0.7479471140742492,0.029597613641732863,-0.11227753327528534,-0.1016895821890462,0.7519139923269544,0.8230449945549602,-0.1062627874311581,0.0048379304312598384,-0.01802564791605263,0.8118165436020149,-0.01912182231856743,-0.026439607772757192,-0.016842842963659614,-0.10666973063933975
fup_mes,-0.5440668619241013,-0.10979588706050868,-0.10884690634005863,1.0,-0.10979588706050909,-0.10979588706050909,-0.10916256027153907,0.07912288498354805,0.07531792636471829,0.11361943283816528,0.9153800582230976,0.9153800582230976,-0.05722329063546049,0.16766186172349054,-0.12584936285478904,0.08335651758878389,-0.15071431877519528,-0.14491700981266734,0.9188694567807912,0.14328027152840667,-0.20575871946333693,0.9498572433898982,0.9662268417137229,-0.1440424346271285,-0.1424280081060612,0.9844389975787047,0.034847354603950005,0.11094343573585537,-0.13094456615213165,0.11190775997391221,0.12917444540600234,0.11099285230885148,0.9847259161632917
prs_sp_bpa,0.13886672815484669,1.0,0.99114208283625,-0.10979588706050909,1.0,1.0,0.994990511659757,-0.010939227873595185,-0.01684588671727846,-0.00018387003782353964,-0.10490606261217225,-0.10490606261217225,-0.009877180281253355,-0.009859638527904181,0.853595984254671,0.005048074976011126,0.7179496882495117,0.7568199649489639,-0.10648350400865861,-0.752529623825273,0.030919455191904956,-0.11350128776520284,-0.10271171722429016,0.7564883765440611,0.8275464406645507,-0.10720824892950981,0.006323820812482379,-0.017450186350240236,0.8186474705461131,-0.018544541331770525,-0.028064481588801107,-0.01671720113919984,-0.10759750191178476
prs_thr_up_sp,0.13886672815484669,1.0,0.99114208283625,-0.10979588706050909,1.0,1.0,0.994990511659757,-0.010939227873595185,-0.01684588671727846,-0.00018387003782353964,-0.10490606261217225,-0.10490606261217225,-0.009877180281253355,-0.009859638527904181,0.853595984254671,0.005048074976011126,0.7179496882495117,0.7568199649489639,-0.10648350400865861,-0.752529623825273,0.030919455191904956,-0.11350128776520284,-0.10271171722429016,0.7564883765440611,0.8275464406645507,-0.10720824892950981,0.006323820812482379,-0.017450186350240236,0.8186474705461131,-0.018544541331770525,-0.028064481588801107,-0.01671720113919984,-0.10759750191178476
prs_tur_down,0.13834358140346253,0.994990511659757,0.9961451912343532,-0.10916256027153907,0.994990511659757,0.994990511659757,1.0,-0.010461074090516798,-0.016617331700071174,-0.0004219150902501901,-0.10352572807270631,-0.10352572807270631,-0.009321044875862784,-0.009817524029133877,0.8570267685792791,0.00570954487752546,0.7170134902261454,0.7537858774371887,-0.10506602685412054,-0.7494823252579615,0.029181588448164677,-0.11231276873637998,-0.1019022184655522,0.7534500545988583,0.8246055965247513,-0.10644082848260837,0.006641770188791766,-0.016871185108424572,0.8144888991181699,-0.017967561173128817,-0.02725257771424203,-0.017211266425453994,-0.10684666792973481
soi_main1_chk_tu[5],-0.06849409142505114,-0.010939227873595185,-0.010804820127301103,0.07912288498354805,-0.010939227873595185,-0.010939227873595185,-0.010461074090516798,1.0,-0.12316317826309887,-0.5324280807307169,0.16418611694234403,0.16418611694234403,-0.0032597035809222787,-0.17947732892961665,-0.010486353247361033,0.45400520222972723,-0.008870333135874462,-0.008238692212006671,-0.0012798675997169626,0.006334308070511828,-0.012664199031876735,0.06555022209176006,0.043066481096586666,-0.008098166477795252,-0.011427504172463314,0.09639443671946132,0.09509338217361152,0.1570810756266395,-0.01098277286433436,0.15573972057820315,0.43927244725330694,0.8178796139767459,0.10267983115805208
soi_main1_chk_tu[1],-0.09154376438511387,-0.01684588671727846,-0.015701535726678054,0.07531792636471829,-0.01684588671727846,-0.01684588671727846,-0.016617331700071174,-0.12316317826309887,1.0,0.12850640417727377,0.1158904596148701,0.1158904596148701,-0.0004126715156846476,-0.3711375679466113,-0.02009783112202552,-0.5386335307500676,-0.024803461207597494,-0.02052114133526296,0.1308502616997661,0.021395540183854325,-0.01758954025352911,0.09941770384384463,0.16461751276088282,-0.020725793445301007,-0.02125380545197581,0.1198280087818264,0.03677430777204492,0.09171678900969547,-0.017544344529793487,0.09071305208416083,0.493126627335009,0.13829146569056658,0.11659703257942998
soi_main1_chk_tu[2],-0.04848021857833569,-0.00018387003782353964,-0.0006516544172454432,0.11361943283816528,-0.00018387003782353964,-0.00018387003782353964,-0.0004219150902501901,-0.5324280807307169,0.12850640417727377,1.0,0.00813533686354024,0.00813533686354024,-0.004119150546251715,0.46968317342874283,-0.001335396759502709,-0.1010483554683159,-0.006266266355048541,-0.007397907695426215,0.16182504957570357,0.007933079464615585,-0.014987632239248722,0.05947226972491242,0.11098758754363997,-0.0071822693381263895,-0.004015743356021287,0.07683421818343346,0.07725679641162524,0.1104266762070136,-0.005551559416134811,0.11110383279627088,-0.32391075190090296,-0.49018628291289834,0.07086056709267347
