,time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,prs_thr_up_sp,prs_eg[0],prs_cmpr_up,prs_eg_mes[0],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,prs_thr_down,fup,n,fup_sp
time,1.0,-0.12829783281771676,-0.12829783281771676,-0.12827118608960564,-0.1281961966780225,-0.005151994544527787,-0.12829783281771676,-0.1517300258834567,-0.14045119415755103,-0.1517300258834567,0.005971192476631187,-0.1496080331005446,0.024441789277027278,-0.20011870788256428,-0.14509466795711665,0.14369637554214384,-0.14556581295425136,-0.15460039878102821,-0.022535462358574624,0.3325543218579429,-0.15283811141111936,0.019955871556641063,0.033603492425401685,0.024647834498275317
prs_bpa,-0.12829783281771676,1.0,1.0,0.9984429675966604,0.9989611822065404,-0.010383513995955699,1.0,0.037555059211562276,0.8957787826153977,0.037555059211562276,0.014073758418391865,0.8035616203167055,0.0039274978517621914,0.033792321258227995,0.8259219498048828,-0.8231950508956505,0.8265552470119599,0.8888336564718473,-0.02290719057312845,-0.040640656923514026,0.8160007429436302,-0.009240473673792026,-0.01739209835498147,-0.003194009245811141
prs_sp_bpa,-0.12829783281771676,1.0,1.0,0.9984429675966604,0.9989611822065404,-0.010383513995955699,1.0,0.037555059211562276,0.8957787826153977,0.037555059211562276,0.014073758418391865,0.8035616203167055,0.0039274978517621914,0.033792321258227995,0.8259219498048828,-0.8231950508956505,0.8265552470119599,0.8888336564718473,-0.02290719057312845,-0.040640656923514026,0.8160007429436302,-0.009240473673792026,-0.01739209835498147,-0.003194009245811141
prs_thr_up,-0.12827118608960564,0.9984429675966604,0.9984429675966604,1.0,0.9994811551513099,-0.011232820193946691,0.9984429675966585,0.036777953118953544,0.8970873106260171,0.036777953118953544,0.014351060275051338,0.8038371682556622,0.0028020957264279773,0.03445929974395276,0.8255357427531047,-0.8228105835756988,0.8261685709832994,0.8884056793746614,-0.022775171296696404,-0.0400087205082426,0.8151219506864292,-0.009640335894841008,-0.016423568876832675,-0.0024415641242328356
prs_tur_down,-0.1281961966780225,0.9989611822065404,0.9989611822065404,0.9994811551513099,1.0,-0.010553523797475808,0.9989611822065407,0.03706135246807454,0.8965602390974776,0.03706135246807454,0.014112445254230492,0.8035597843432559,0.00343894386808123,0.03413907353949774,0.8255014576032206,-0.8227748236742762,0.8261344869388693,0.8884160617419058,-0.022880712180947397,-0.03976102841048739,0.8152555105346577,-0.009727872005032527,-0.01661148583191088,-0.002555005675141572
fup_mes,-0.005151994544527787,-0.010383513995955699,-0.010383513995955699,-0.011232820193946691,-0.010553523797475808,1.0,-0.010383513995955987,0.09611643290726543,-0.012246161910096821,0.09611643290726543,-0.010739981951315456,-0.0016754032032352468,-0.030804526455805947,-0.10701042020589964,-0.0023950085141660957,0.0012543304895829665,-0.0013416160954735747,-0.007575419537190802,-0.018894825954019426,-0.04246920395618174,-0.008548773449694527,0.056580405464242006,0.024262365252586186,0.11480979158690582
prs_thr_up_sp,-0.12829783281771676,1.0,1.0,0.9984429675966585,0.9989611822065407,-0.010383513995955987,1.0,0.037555059211562276,0.8957787826153977,0.037555059211562276,0.014073758418391865,0.8035616203167055,0.0039274978517621914,0.033792321258227995,0.8259219498048828,-0.8231950508956505,0.8265552470119599,0.8888336564718473,-0.02290719057312845,-0.040640656923514026,0.8160007429436302,-0.009240473673792026,-0.01739209835498147,-0.003194009245811141
prs_eg[0],-0.1517300258834567,0.037555059211562276,0.037555059211562276,0.036777953118953544,0.03706135246807454,0.09611643290726543,0.037555059211562276,1.0,0.04141640494106685,1.0,-0.016703278227870797,0.045157159803782536,-0.09757525110191659,-0.24296163282006034,0.03750880892040511,-0.03828642340266676,0.03833904431389688,0.04004015589027947,-0.05925218585426764,0.05772750360145296,0.03083545467582802,0.05900801724694094,0.11278891825874358,0.3150604401352393
prs_cmpr_up,-0.14045119415755103,0.8957787826153977,0.8957787826153977,0.8970873106260171,0.8965602390974776,-0.012246161910096821,0.8957787826153977,0.04141640494106685,1.0,0.041416404941067506,0.012686468385071986,0.8198945163047976,0.0026088985783548507,0.03843201306156138,0.8215729642063556,-0.8200721746607981,0.8218860696510046,0.8575978267272587,-0.027913368372221997,-0.04109894515241463,0.8091578375731348,-0.009011345680116602,-0.015549614882460256,-0.004630385475440137
prs_eg_mes[0],-0.1517300258834567,0.037555059211562276,0.037555059211562276,0.036777953118953544,0.03706135246807454,0.09611643290726543,0.037555059211562276,1.0,0.041416404941067506,1.0,-0.016703278227870797,0.045157159803782536,-0.09757525110191659,-0.24296163282006034,0.03750880892040511,-0.03828642340266676,0.03833904431389688,0.04004015589027947,-0.05925218585426764,0.05772750360145296,0.03083545467582802,0.05900801724694094,0.11278891825874358,0.3150604401352393
poil,0.005971192476631187,0.014073758418391865,0.014073758418391865,0.014351060275051338,0.014112445254230492,-0.010739981951315456,0.014073758418391865,-0.016703278227870797,0.012686468385071986,-0.016703278227870797,1.0,0.023927220487792545,0.011840437148512465,-0.00516177173053339,0.013640052272081225,-0.013498710738281516,0.01327255617291091,0.021109746497324913,0.0012822529622534956,-0.01456860911967196,-0.0006501686719388482,0.030169293853775203,-0.010079165275451133,-0.001038404102875436
map,-0.1496080331005446,0.8035616203167055,0.8035616203167055,0.8038371682556622,0.8035597843432559,-0.0016754032032352468,0.8035616203167055,0.045157159803782536,0.8198945163047976,0.045157159803782536,0.023927220487792545,1.0,0.005105276152186559,0.03812466520175407,0.9323042432972887,-0.9255188421555792,0.9338319395730121,0.911046319546657,-0.02846146086812788,-0.051719698767806,0.7561136201185338,0.0022906744671873126,-0.01088127964378521,0.0067685518741743
pfu_mes,0.024441789277027278,0.0039274978517621914,0.0039274978517621914,0.0028020957264279773,0.00343894386808123,-0.030804526455805947,0.0039274978517621914,-0.09757525110191659,0.0026088985783548507,-0.09757525110191659,0.011840437148512465,0.005105276152186559,1.0,0.020874847798458614,0.0065443279261509,-0.0054887186105263795,0.00551195345355678,0.006120248318353109,-0.028248769692656245,-0.03133033203100923,0.004026458812740181,0.10062069008146315,0.06474018622691213,0.0197993297276665
egbp_mes[0],-0.20011870788256428,0.033792321258227995,0.033792321258227995,0.03445929974395276,0.03413907353949774,-0.10701042020589964,0.033792321258227995,-0.24296163282006034,0.03843201306156138,-0.24296163282006034,-0.00516177173053339,0.03812466520175407,0.020874847798458614,1.0,0.03865271091622363,-0.03764007040621119,0.03867647495242698,0.03718973297917397,-0.05546637115095007,0.040242221699116926,0.04065488204304947,0.19334503495623556,0.10068306608719575,-0.08701694856370823
prs_up_cmp_prot[0],-0.14509466795711665,0.8259219498048828,0.8259219498048828,0.8255357427531047,0.8255014576032206,-0.0023950085141660957,0.8259219498048828,0.03750880892040511,0.8215729642063556,0.03750880892040511,0.013640052272081225,0.9323042432972887,0.0065443279261509,0.03865271091622363,1.0,-0.9944822430422469,0.9987139222335031,0.8728096894540305,-0.028868091983551707,-0.04794209086747999,0.8750305798738783,-0.001953582119316075,-0.009066578080392159,0.008254213641383136
prs_bpa_dif,0.14369637554214384,-0.8231950508956505,-0.8231950508956505,-0.8228105835756988,-0.8227748236742762,0.0012543304895829665,-0.8231950508956505,-0.03828642340266676,-0.8200721746607981,-0.03828642340266676,-0.013498710738281516,-0.9255188421555792,-0.0054887186105263795,-0.03764007040621119,-0.9944822430422469,1.0,-0.9931940545231286,-0.86740918645063,0.029063687763008845,0.04706060296138735,-0.8779578340993438,0.0015916088628759718,0.008833896709740446,-0.00902722307555661
prs_cmpr_down,-0.14556581295425136,0.8265552470119599,0.8265552470119599,0.8261685709832994,0.8261344869388693,-0.0013416160954735747,0.8265552470119599,0.03833904431389688,0.8218860696510046,0.03833904431389688,0.01327255617291091,0.9338319395730121,0.00551195345355678,0.03867647495242698,0.9987139222335031,-0.9931940545231286,1.0,0.8740074348743083,-0.02843791370364791,-0.04851648292363442,0.8743311444471424,-0.001596795032751825,-0.009039780506779883,0.009201930861357175
amp_mes,-0.15460039878102821,0.8888336564718473,0.8888336564718473,0.8884056793746614,0.8884160617419058,-0.007575419537190802,0.8888336564718473,0.04004015589027947,0.8575978267272587,0.04004015589027947,0.021109746497324913,0.911046319546657,0.006120248318353109,0.03718973297917397,0.8728096894540305,-0.86740918645063,0.8740074348743083,1.0,-0.02684827918332005,-0.061656421368355974,0.78717232834093,-0.008397070369057315,-0.010115500042776442,-0.002954979363323279
pfu_l_mes,-0.022535462358574624,-0.02290719057312845,-0.02290719057312845,-0.022775171296696404,-0.022880712180947397,-0.018894825954019426,-0.02290719057312845,-0.05925218585426764,-0.027913368372221997,-0.05925218585426764,0.0012822529622534956,-0.02846146086812788,-0.028248769692656245,-0.05546637115095007,-0.028868091983551707,0.029063687763008845,-0.02843791370364791,-0.02684827918332005,1.0,-0.09359233888095579,-0.03450481165104287,-0.05971341285473454,-0.05376466763344384,0.01149195187882406
map_mes,0.3325543218579429,-0.040640656923514026,-0.040640656923514026,-0.0400087205082426,-0.03976102841048739,-0.04246920395618174,-0.040640656923514026,0.05772750360145296,-0.04109894515241463,0.05772750360145296,-0.01456860911967196,-0.051719698767806,-0.03133033203100923,0.040242221699116926,-0.04794209086747999,0.04706060296138735,-0.04851648292363442,-0.061656421368355974,-0.09359233888095579,1.0,-0.04457202621653936,-0.0631427253158823,0.0004959210400946298,-0.03797588052939922
prs_thr_down,-0.15283811141111936,0.8160007429436302,0.8160007429436302,0.8151219506864292,0.8152555105346577,-0.008548773449694527,0.8160007429436302,0.03083545467582802,0.8091578375731348,0.03083545467582802,-0.0006501686719388482,0.7561136201185338,0.004026458812740181,0.04065488204304947,0.8750305798738783,-0.8779578340993438,0.8743311444471424,0.78717232834093,-0.03450481165104287,-0.04457202621653936,1.0,-0.005311422627971676,-0.01428341088615133,-0.002221055214898976
fup,0.019955871556641063,-0.009240473673792026,-0.009240473673792026,-0.009640335894841008,-0.009727872005032527,0.056580405464242006,-0.009240473673792026,0.05900801724694094,-0.009011345680116602,0.05900801724694094,0.030169293853775203,0.0022906744671873126,0.10062069008146315,0.19334503495623556,-0.001953582119316075,0.0015916088628759718,-0.001596795032751825,-0.008397070369057315,-0.05971341285473454,-0.0631427253158823,-0.005311422627971676,1.0,0.15649126238063482,0.18919308546096578
n,0.033603492425401685,-0.01739209835498147,-0.01739209835498147,-0.016423568876832675,-0.01661148583191088,0.024262365252586186,-0.01739209835498147,0.11278891825874358,-0.015549614882460256,0.11278891825874358,-0.010079165275451133,-0.01088127964378521,0.06474018622691213,0.10068306608719575,-0.009066578080392159,0.008833896709740446,-0.009039780506779883,-0.010115500042776442,-0.05376466763344384,0.0004959210400946298,-0.01428341088615133,0.15649126238063482,1.0,0.23249442684691954
fup_sp,0.024647834498275317,-0.003194009245811141,-0.003194009245811141,-0.0024415641242328356,-0.002555005675141572,0.11480979158690582,-0.003194009245811141,0.3150604401352393,-0.004630385475440137,0.3150604401352393,-0.001038404102875436,0.0067685518741743,0.0197993297276665,-0.08701694856370823,0.008254213641383136,-0.00902722307555661,0.009201930861357175,-0.002954979363323279,0.01149195187882406,-0.03797588052939922,-0.002221055214898976,0.18919308546096578,0.23249442684691954,1.0
