,Variance
time,30086.88235401425
pfu_l_mes,7804.534486834137
prs_eg_mes[0],16.4329340465901
prs_eg[0],16.4329340465901
egbp_mes[0],11.447091852591772
poil,6.579417750920337
map_mes,1.81394777368766
n,1.4232324885092882
prs_thr_up,0.13977392719617893
prs_bpa,0.13960438017499457
prs_tur_down,0.13960438017499457
prs_sp_bpa,0.13960438017499457
prs_thr_up_sp,0.13960438017499457
prs_cmpr_up,0.11068284148908962
amp_mes,0.09582059150357265
prs_thr_down,0.0947764004747961
prs_bpa_dif,0.09462382565618917
prs_up_cmp_prot[0],0.09450460561975874
prs_cmpr_down,0.09438431366584676
map,0.08810981419905219
fup_mes,0.028242123278400737
pfu_mes,0.01063370291721826
fup,0.0010358521310922001
fup_sp,0.0003624997331969023
