,Variance
time,133435.3696830329
pfu_l_mes,9011.18123762871
prs_eg[0],913.4393058755267
prs_eg_mes[0],913.4393058755267
egbp_mes[0],829.609469137509
map_mes,672.0132191656768
soi_main1_chk_tu[0],49.29218156637879
soi_main1_chk_tu[1],49.290779629180754
soi_main1_chk_tu[2],49.28470848103382
soi_main1_chk_tu[3],49.27914853525541
soi_main1_tu,49.26950878502608
soi_main1_chk_tu[5],49.25561682173329
soi_main1_chk_tu[4],49.20871431744477
n,21.796173893412515
poil,6.347288952531848
prs_thr_up,0.21900041430056968
prs_tur_down,0.21890502753190477
prs_thr_up_sp,0.21876183850647316
prs_sp_bpa,0.21876183850647316
prs_bpa,0.21876183850647316
prs_cmpr_up,0.16191486850410705
fup_mes,0.15863590724854543
prs_thr_down,0.15083109600026098
prs_bpa_dif,0.1277970734231126
amp_mes,0.1275972918785575
prs_cmpr_down,0.12753153747645907
prs_up_cmp_prot[0],0.12738108424429437
pfu_mes,0.11694670667188772
map,0.11618463521001429
fup,0.006379936246954104
fup_sp,0.0015968795253585143
soi_main1,0.0003823264067028255
soi_main1_bas,0.0003566856035727426
