,time,prs_sp_bpa,prs_bpa,prs_thr_up_sp,prs_tur_down,prs_thr_up,fup_mes,prs_cmpr_up,poil,prs_eg_mes[0],prs_eg[0],soi_main1_chk_tu[1],soi_main1_chk_tu[3],soi_main1_chk_tu[5],soi_main1_chk_tu[2],soi_main1_chk_tu[4],map,amp_mes,prs_cmpr_down,map_mes,prs_up_cmp_prot[0],egbp_mes[0],prs_bpa_dif,pfu_mes,pfu_l_mes,n,prs_thr_down,soi_main1,soi_main1_tu,soi_main1_chk_tu[0],fup,fup_sp,soi_main1_bas
time,1.0,0.17064225866210567,0.17064225866210567,0.17064225866210567,0.17125435072437312,0.17087708325940443,-0.017522567796260814,0.19913254255373541,-0.009851967957602613,0.28655345407408134,0.28655345407408134,0.23078166267784678,0.23099514413443878,0.2310171604890622,0.2309329346818374,0.2310851094424108,0.23503416189363746,0.2242641353848504,0.22432866681575997,0.2606363147790925,0.22442965424728203,0.3099567350589802,-0.22389524472856354,-0.012151594453813266,0.022681749481461698,0.005044431322123782,0.20624883103813324,-0.004940411677707476,0.23092217142246224,0.2308258634827726,-0.005375720228312058,-0.021797328352739148,-0.011506027472846818
prs_sp_bpa,0.17064225866210567,1.0,1.0,1.0,0.996013350561718,0.9943362701443652,-0.006917142622379987,0.8503745867088035,0.0056226859418622745,0.043976819681669235,0.043976819681669235,0.03541198578069355,0.035490364621755685,0.03546872590125027,0.03547258466409246,0.03545786615323823,0.7266207655703033,0.8332250842574768,0.7660765581715723,0.03983208895018534,0.7652160795336904,0.047904296708911616,-0.7621079469092518,0.006331183468667708,0.01407730430801095,0.0090692169912622,0.8271695659606636,0.010373094367057453,0.035440852521512356,0.0354116211907438,0.00535532638882893,0.004999774950405739,-0.0006546264563266827
prs_bpa,0.17064225866210567,1.0,1.0,1.0,0.996013350561718,0.9943362701443652,-0.006917142622379987,0.8503745867088035,0.0056226859418622745,0.043976819681669235,0.043976819681669235,0.03541198578069355,0.035490364621755685,0.03546872590125027,0.03547258466409246,0.03545786615323823,0.7266207655703033,0.8332250842574768,0.7660765581715723,0.03983208895018534,0.7652160795336904,0.047904296708911616,-0.7621079469092518,0.006331183468667708,0.01407730430801095,0.0090692169912622,0.8271695659606636,0.010373094367057453,0.035440852521512356,0.0354116211907438,0.00535532638882893,0.004999774950405739,-0.0006546264563266827
prs_thr_up_sp,0.17064225866210567,1.0,1.0,1.0,0.996013350561718,0.9943362701443652,-0.006917142622379987,0.8503745867088035,0.0056226859418622745,0.043976819681669235,0.043976819681669235,0.03541198578069355,0.035490364621755685,0.03546872590125027,0.03547258466409246,0.03545786615323823,0.7266207655703033,0.8332250842574768,0.7660765581715723,0.03983208895018534,0.7652160795336904,0.047904296708911616,-0.7621079469092518,0.006331183468667708,0.01407730430801095,0.0090692169912622,0.8271695659606636,0.010373094367057453,0.035440852521512356,0.0354116211907438,0.00535532638882893,0.004999774950405739,-0.0006546264563266827
prs_tur_down,0.17125435072437312,0.996013350561718,0.996013350561718,0.996013350561718,1.0,0.9979028900175549,-0.006018570992039195,0.8535479448005968,0.005778402618735666,0.04377339298605349,0.04377339298605349,0.03508747876099331,0.035169686675579306,0.03514812927069609,0.03515109713808087,0.03513841527310292,0.7268553045764296,0.8314353962834313,0.7644930032497015,0.03953285142391863,0.763632541141922,0.04772428675012348,-0.7605266841866815,0.006612292558278721,0.012947235360975907,0.010248086691684278,0.8245235352827666,0.011338883861165914,0.03512098756601189,0.03508643041039999,0.00608987941773238,0.005794361879280045,-0.0002921417678416036
prs_thr_up,0.17087708325940443,0.9943362701443652,0.9943362701443652,0.9943362701443652,0.9979028900175549,1.0,-0.0066371737202941304,0.8549019364126528,0.00494422885409709,0.043531080132054686,0.043531080132054686,0.03474232698343891,0.03482461129798504,0.03480552266420818,0.034805112448359404,0.034793978754454905,0.7270005394145783,0.8309785628488979,0.763865792766542,0.03918230440364793,0.7630055940154371,0.04725711103664869,-0.7599005554963442,0.006803596649903097,0.012190036795509836,0.010536197412917767,0.823297867845161,0.011791744758636506,0.03477765251150918,0.03474346371665238,0.005337195180446264,0.006222174788603175,0.00010384495850838332
fup_mes,-0.017522567796260814,-0.006917142622379987,-0.006917142622379987,-0.006917142622379987,-0.006018570992039195,-0.0066371737202941304,1.0,-0.006606120256893605,-0.0008897085682207774,-0.14877058989402084,-0.14877058989402084,-0.12823063469931403,-0.12607832481617667,-0.1273583313912886,-0.12678351831513338,-0.1262920662043405,-0.0030164719627711898,-0.0034227217077103396,-0.003955840635932949,-0.12556803878386258,-0.003757645114405419,-0.0919000334791796,0.004420061301034331,-0.23308605392550816,-0.010784707520905205,0.016602725029754364,-0.006753467615895847,0.04507646614444923,-0.1272261533319257,-0.1283015853457547,0.04045264686611574,0.02817495089581252,-0.19170380925263744
prs_cmpr_up,0.19913254255373541,0.8503745867088035,0.8503745867088035,0.8503745867088035,0.8535479448005968,0.8549019364126528,-0.006606120256893605,1.0,0.009250712672751063,0.05114423316907393,0.05114423316907393,0.04010499456888192,0.04017348252074605,0.040152492695852776,0.040150660958040346,0.040129798423524585,0.780424464113208,0.8038817937733319,0.7655741238702692,0.04542622594720157,0.7650025145496161,0.05461864747198831,-0.7631337837221639,0.0078116068129206505,0.016330535744392336,0.011335263331238212,0.7702433687486355,0.01226925636953865,0.040127599215393585,0.040090835338563155,0.006070617699803404,0.007064705128889129,0.00039633094122852006
poil,-0.009851967957602613,0.0056226859418622745,0.0056226859418622745,0.0056226859418622745,0.005778402618735666,0.00494422885409709,-0.0008897085682207774,0.009250712672751063,1.0,0.007271239518472754,0.007271239518472754,0.004990277250526271,0.005087894895079987,0.004959084458028429,0.00509776826831131,0.005004750650382507,0.010164662665096495,0.004789422836466184,-0.005395448102276133,0.004999457012117466,-0.005409401666297167,0.0032987489085734346,0.006497704364943541,-0.011991774840422456,0.014005201336773503,0.0037909932281890322,-0.02214493235400957,0.0021532440961404948,0.004954409418119005,0.004954638600615683,0.026241614361955122,0.005652511963528425,0.013161090843499562
prs_eg_mes[0],0.28655345407408134,0.043976819681669235,0.043976819681669235,0.043976819681669235,0.04377339298605349,0.043531080132054686,-0.14877058989402084,0.05114423316907393,0.007271239518472754,1.0,1.0,0.9577250786627481,0.9576545069243928,0.9583873205648924,0.9575486284305764,0.9581433849285911,0.06089670363021664,0.05813498442502664,0.05874273441870495,0.9748228429541539,0.05808653810510137,0.9289659936390028,-0.057574751277610595,-0.15918045486639593,0.020582076290369376,0.012147395641012727,0.05331465278425199,0.007279428583275713,0.9578716355033333,0.9581131231060566,-0.001196439291691221,0.14376759963830738,0.1891729847187576
