,Variance
time,133126.53187854393
pfu_l_mes,22206.73298990136
map_mes,4132.544059554033
prs_eg[0],3200.047062444682
prs_eg_mes[0],3200.047062444682
egbp_mes[0],2681.1038767496198
poil,6.6853307612353445
fup_mes,3.1335336300403673
pfu_mes,3.1295804138238275
fup_sp,3.0663868779680175
fup,3.0610222008154175
n,2.072315787279843
prs_tur_down,0.1696398095821881
prs_sp_bpa,0.16955556719097115
prs_thr_up_sp,0.16955556719097115
prs_bpa,0.16955556719097115
prs_thr_up,0.16937405367621175
prs_cmpr_up,0.13714795147447573
amp_mes,0.1200768749383927
prs_thr_down,0.11849058428604457
prs_bpa_dif,0.11670331355549404
prs_up_cmp_prot[0],0.11668235240895669
prs_cmpr_down,0.1166705558815117
map,0.11080426078130357
soi_main1_chk_tu[0],2.075788034997482e-06
soi_main1_bas,2.0611875296378313e-06
soi_main1_chk_tu[4],1.9821358630041727e-06
soi_main1_chk_tu[1],1.969215278527921e-06
soi_main1_chk_tu[3],1.9633075374540567e-06
soi_main1_chk_tu[5],1.875025874747413e-06
soi_main1_chk_tu[2],1.8238414359657318e-06
soi_main1,1.6564780429484784e-06
soi_main1_tu,1.6564780429484784e-06
