,Data Type,Count,Missing,Unique,Mean,Median,Std,Variance,Min,25%,75%,Max
time,float64,16847,0,16847,631.9954843533702,631.9840564524695,364.86508722888783,133126.53187854393,0.0987203277983894,316.04757982342943,947.9556943600057,1263.893402506228
prs_bpa,float64,16847,0,4,982.0352993809094,982.0751659418632,0.411771255906688,0.16955556719097115,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
prs_thr_up,float64,16847,0,4,982.0356192977565,982.0751659418632,0.41155079112572696,0.16937405367621175,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
fup_mes,float64,16847,0,713,8.946911577905313,8.0932617170428,1.7701789824874679,3.1335336300403673,5.603027342568093,7.794189451480888,10.09521484162051,14.87426757498741
prs_sp_bpa,float64,16847,0,4,982.0352993809094,982.0751659418632,0.411771255906688,0.16955556719097115,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
prs_thr_up_sp,float64,16847,0,4,982.0352993809094,982.0751659418632,0.411771255906688,0.16955556719097115,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
prs_tur_down,float64,16847,0,4,982.0354913310176,982.0751659418632,0.41187353590900705,0.1696398095821881,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
soi_main1_chk_tu[5],float64,16847,0,23,2.6015569271430037,2.601562500000014,0.001369315841852205,1.875025874747413e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
soi_main1_chk_tu[1],float64,16847,0,28,2.6015708608356314,2.601562500000014,0.001403287311468297,1.969215278527921e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
soi_main1_chk_tu[2],float64,16847,0,21,2.601563890416802,2.601562500000014,0.0013504967367475315,1.8238414359657318e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
prs_eg_mes[0],float64,16847,0,16495,2393.9856111392287,2365.3964010604,56.56895847056654,3200.047062444682,2313.114117701308,2357.4491698986126,2430.257639994439,2511.240161745633
prs_eg[0],float64,16847,0,16495,2393.9856111392287,2365.3964010604,56.56895847056654,3200.047062444682,2313.114117701308,2357.4491698986126,2430.257639994439,2511.240161745633
poil,float64,16847,0,13742,6848.029871215393,6848.882942615073,2.5856006577264297,6.6853307612353445,6838.378729462615,6845.146271173832,6849.955137685852,6856.479543558767
soi_main1_chk_tu[3],float64,16847,0,19,2.6015555505214443,2.601562500000014,0.0014011807654453641,1.9633075374540567e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
prs_cmpr_up,float64,16847,0,3130,982.0326573956589,982.0751659418632,0.37033491797895013,0.13714795147447573,980.2126358593068,982.0751659418632,982.0751659418632,983.1530937666896
soi_main1_chk_tu[4],float64,16847,0,18,2.6015722441537443,2.601562500000014,0.0014078834692559511,1.9821358630041727e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
map,float64,16847,0,3131,982.0315717734462,982.0751659418632,0.3328727396187672,0.11080426078130357,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
prs_cmpr_down,float64,16847,0,3131,982.0304095039415,982.0751659418632,0.34157071871211636,0.1166705558815117,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
egbp_mes[0],float64,16847,0,16437,2365.1182209644808,2338.438447425185,51.779376944393796,2681.1038767496198,2294.670780844969,2331.4734901053885,2397.4235779540813,2470.391991866694
prs_bpa_dif,float64,16847,0,3131,-12.144503113681942,-12.18887617303399,0.341618666872134,0.11670331355549404,-13.26680399786042,-12.18887617303399,-12.18887617303399,-9.950102998394486
pfu_l_mes,float64,16847,0,12473,4551.922197945464,4531.296063132796,149.0192369793288,22206.73298990136,4235.383323074284,4434.164669843114,4680.8951736255985,4905.234943160144
map_mes,float64,16847,0,15053,1690.1726929491651,1658.100034863593,64.28486648935372,4132.544059554033,1611.501647291997,1650.1417643042696,1727.530941551129,1821.532188906691
pfu_mes,float64,16847,0,16804,9.019445723665697,8.135113325578637,1.7690620152566239,3.1295804138238275,6.486302254762143,7.931527561392178,10.12979741952281,12.69312498050812
prs_up_cmp_prot[0],float64,16847,0,3131,982.0305381255879,982.0751659418632,0.34158798633581466,0.11668235240895669,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
amp_mes,float64,16847,0,3131,982.0340683938261,982.0751659418632,0.3465211031645731,0.1200768749383927,979.8363927672236,982.0751659418632,982.0751659418632,983.1530937666896
fup,float64,16847,0,16148,8.963091715555615,8.026830226106355,1.7495777207130347,3.0610222008154175,6.871618720505075,7.975238470568287,10.014566448088214,12.73161072550704
n,float64,16847,0,12701,1599.1723869107536,1599.049722984101,1.4395540237447995,2.072315787279843,1568.206007947852,1598.2735391647595,1600.0,1622.0
soi_main1,float64,16847,0,23,2.601565613338185,2.601562500000014,0.0012870423625306504,1.6564780429484784e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
prs_thr_down,float64,16847,0,4163,982.033256440789,982.0751659418632,0.3442246131322462,0.11849058428604457,980.1049813857444,982.0751659418632,982.0751659418632,983.1530937666896
soi_main1_tu,float64,16847,0,23,2.601565613338185,2.601562500000014,0.0012870423625306504,1.6564780429484784e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
soi_main1_chk_tu[0],float64,16847,0,24,2.6015764401098007,2.601562500000014,0.0014407595340644053,2.075788034997482e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
soi_main1_bas,float64,16847,0,17,2.601569788179349,2.601562500000014,0.0014356836453891335,2.0611875296378313e-06,2.554687500000014,2.601562500000014,2.601562500000014,2.648437500000014
fup_sp,float64,16847,0,1034,8.960712202311303,7.998657224875257,1.7511101844167367,3.0663868779680175,7.000732420398259,7.998657224875257,10.00061034945296,11.99951171621881
