,Variance
time,133354.95322897926
pfu_l_mes,6223.373038936858
map_mes,203.31729336611494
prs_eg[0],203.31026772645887
prs_eg_mes[0],203.31026772645887
egbp_mes[0],154.34616323697628
soi_main1_chk_tu[1],28.343193842127516
soi_main1_chk_tu[0],28.335123889004247
soi_main1_chk_tu[2],28.334491729202583
soi_main1_chk_tu[4],28.334163628591064
soi_main1_tu,28.332516545516395
soi_main1_chk_tu[3],28.332175908505594
soi_main1_chk_tu[5],28.330445369381227
poil,6.15700862583085
n,4.625539863746858
prs_bpa,0.10564396447129597
prs_thr_up,0.10564396447129597
prs_thr_up_sp,0.10564396447129597
prs_sp_bpa,0.10564396447129597
prs_tur_down,0.1054779033592753
prs_cmpr_up,0.08017637286923042
prs_thr_down,0.07106570951939352
prs_bpa_dif,0.06593943373950113
prs_up_cmp_prot[0],0.06564157300672241
prs_cmpr_down,0.06547467730159763
amp_mes,0.0654274678547698
map,0.06101631574362699
fup_mes,0.043251235324500675
pfu_mes,0.019719963370618085
fup,0.0016591875517101068
soi_main1_bas,0.00016122095588444962
soi_main1,0.000123504376082532
