time,prs_thr_up_sp,prs_tur_down,fup_mes,prs_bpa,prs_thr_up,prs_sp_bpa,prs_eg[0],soi_main1_chk_tu[1],soi_main1_chk_tu[4],soi_main1_chk_tu[3],prs_eg_mes[0],soi_main1_chk_tu[2],poil,prs_cmpr_up,soi_main1_chk_tu[5],map,prs_up_cmp_prot[0],prs_bpa_dif,pfu_mes,egbp_mes[0],pfu_l_mes,prs_cmpr_down,amp_mes,map_mes,soi_main1_tu,prs_thr_down,n,soi_main1_chk_tu[0],fup,fup_sp
0.0654444840784123,984.2310215915161,984.2310215915161,8.044433592053101,984.2310215915161,984.2310215915161,984.2310215915161,2375.421255817502,7.593750000000014,7.593750000000014,7.593750000000014,2375.421255817502,7.593750000000014,6848.987563897155,984.2310215915161,7.593750000000014,984.2310215915161,984.2310215915161,-33.99618524452251,8.331298828125,2348.721812771802,4905.234943160144,984.2310215915161,984.2310215915161,1667.222674906539,7.593750000000014,984.2310215915161,1601.0,7.593750000000014,8.013916013934539,8.038330076429387
0.140352337636628,984.2310215915161,984.2310215915161,7.965087888944838,984.2310215915161,984.2310215915161,984.2310215915161,2386.244197787835,7.593750000000014,7.593750000000014,7.593750000000014,2386.244197787835,7.593750000000014,6854.604533780492,984.2310215915161,7.593750000000014,984.2310215915161,984.2310215915161,-33.99618524452251,8.414887330424728,2350.272831292358,4841.643183817362,984.2310215915161,984.2310215915161,1667.555036018087,7.593750000000014,984.2310215915161,1601.0,7.593750000000014,8.013916013934539,7.998657224875257
0.2152801664110626,984.2310215915161,984.2310215915161,7.684326170254062,984.2310215915161,984.2310215915161,984.2310215915161,2374.097125784338,7.593750000000014,7.593750000000014,7.593750000000014,2374.097125784338,7.593750000000014,6851.665344094331,984.2310215915161,7.593750000000014,984.2310215915161,984.2310215915161,-33.99618524452251,8.444856723005454,2352.478311313668,4685.312020604118,984.2310215915161,984.2310215915161,1667.275372170406,7.593750000000014,984.2310215915161,1601.640870917716,7.593750000000014,8.02565071091173,7.998657224875257
0.2902359686572851,984.2310215915161,984.2310215915161,7.9467773420737,984.2310215915161,984.2310215915161,984.2310215915161,2376.908546165504,7.593750000000014,7.593750000000014,7.593750000000014,2376.908546165504,7.593750000000014,6849.431034768932,984.2310215915161,7.593750000000014,984.2310215915161,984.2310215915161,-33.99618524452251,8.264389939208181,2353.261019509272,4626.466224155032,984.2310215915161,984.2310215915161,1666.479122610896,7.593750000000014,984.2310215915161,1601.608636402066,7.593750000000014,8.041781336143849,7.998657224875257
0.3651527539154955,984.2310215915161,984.2310215915161,8.026123045181963,984.2310215915161,984.2310215915161,984.2310215915161,2378.897476227278,7.593750000000014,7.593750000000014,7.593750000000014,2378.897476227278,7.593750000000014,6844.901957627746,984.2310215915161,7.593750000000014,984.2310215915161,984.2310215915161,-33.99618524452251,8.208663361407327,2354.960260475169,4676.445677367592,984.2310215915161,984.2310215915161,1668.964730391484,7.593750000000014,984.2310215915161,1600.717452082174,7.593750000000014,8.046293409515144,8.002015573285856
0.4401205096642258,984.2310215915161,984.2310215915161,7.611083982769512,984.2310215915161,984.2310215915161,984.2310215915161,2374.429150670935,7.593750000000014,7.593750000000014,7.593750000000014,2374.429150670935,7.593750000000014,6848.789473239407,984.2310215915161,7.593750000000014,984.2310215915161,984.2310215915161,-33.99618524452251,7.867753997424418,2351.99225940031,4762.418319561926,984.2310215915161,984.2310215915161,1669.461049964456,7.593750000000014,984.2310215915161,1599.218911097908,7.593750000000014,7.991415199653678,7.998657224875257
0.5150242516779286,984.2310215915161,984.2310215915161,7.952880857697413,984.2310215915161,984.2310215915161,984.2310215915161,2378.098752543742,7.593750000000014,7.593750000000014,7.593750000000014,2378.098752543742,7.593750000000014,6849.954019068373,984.2310215915161,7.593750000000014,984.2310215915161,984.2310215915161,-33.99618524452251,8.070855218806525,2354.855788007887,4701.243762741204,984.2310215915161,983.8715636203356,1668.659717557381,7.593750000000014,984.2310215915161,1600.920943177265,7.593750000000014,8.014663787001847,8.008126219695171
0.589895975628238,983.1530937666897,983.1530937666897,7.958984373321125,983.1530937666897,983.1530937666897,983.1530937666897,2380.311335945225,7.593750000000014,7.593750000000014,7.593750000000014,2380.311335945225,7.593750000000014,6849.292735847934,983.3342317377363,7.593750000000014,983.6975284393765,983.8722493131473,-33.63741296615372,7.977240190747173,2347.778776227655,4633.265461203938,983.8722493131473,983.1530937666897,1667.554592851058,7.593750000000014,983.8109220638629,1602.0,7.593750000000014,8.02984784492926,8.038330076429387
0.664804671871039,983.1530937666897,983.1530937666897,8.099365232666514,983.1530937666897,983.1530937666897,983.1530937666897,2387.159358644587,7.593750000000014,7.593750000000014,7.593750000000014,2387.159358644587,7.593750000000014,6849.703166970288,984.0464668043237,7.593750000000014,983.6882878300606,983.5117316029621,-33.27689525596846,8.032260779287858,2350.88014757962,4707.917306200326,983.5117316029621,983.5117316029621,1667.857188001482,7.593750000000014,983.3034925274115,1601.860474182726,7.593750000000014,8.033787427232777,8.006728845564963
0.7397763372168953,984.2310215915161,984.2310215915161,8.06884765454795,984.2310215915161,984.2310215915161,984.2310215915161,2384.981074866479,7.593750000000014,7.593750000000014,7.593750000000014,2384.981074866479,7.593750000000014,6849.952937220057,984.2310215915161,7.593750000000014,984.2310215915161,984.2310215915161,-33.99618524452251,8.001702641866874,2347.892982179086,4807.83102558414,984.2310215915161,984.2310215915161,1669.29544070263,7.593750000000014,984.113461499867,1601.109061190315,7.593750000000014,8.075063775684127,8.038330076429387
