time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,ti_main1_tu_tmp,prs_thr_up_sp,soi_main1_chk_tu[1],soi_main1_chk_tu[4],prs_eg[0],prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[2],soi_main1_chk_tu[5],soi_main1_chk_tu[3],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,ti_main1_tu,prs_thr_down,ti_main1_tu_[0],fup,soi_main1_tu,soi_main1,soi_main1_chk_tu[0],n,soi_main1_bas,fup_sp
0.06479804236624886,1260.760967421988,1260.760967421988,1260.760967421988,982.0751659418632,6.060791014346532,1.6,1260.760967421988,0.6796875000000142,0.6093750000000142,1459.680109864958,982.0751659418632,1459.680109864958,0.7500000000000142,0.6093750000000142,0.6796875000000142,6849.982574196995,1258.605111772335,5.712890625,1484.057862211032,982.0751659418632,-275.2861829556693,1258.605111772335,982.0751659418632,3858.152437628748,1258.688029297322,1.2,1260.097627222095,1.6,5.468749998846418,0.6796875000000142,0.6796875000000142,0.6328125000000142,1003.0,0.6255804107489714,5.49926757696498
0.184483648993421,1260.097627222095,1260.097627222095,1260.097627222095,982.0751659418632,6.140136717454794,1.6,1260.097627222095,0.6406687306999767,0.6288843846500329,1468.100620861499,982.0751659418632,1468.100620861499,0.7695093846500329,0.6288843846500329,0.6796875000000142,6849.292368377606,1258.105046071389,5.800878588185629,1481.945177590985,981.7137856779078,-274.9526011735566,1258.271529990222,981.7137856779078,3851.314011095438,1258.688029297322,1.525908293695088,1262.124390403532,1.6,5.543344487438873,0.6414951218326211,0.6414951218326211,0.6328125000000142,998.9261463288115,0.6328125000000142,5.49926757696498
0.304494317727233,1260.429297322042,1260.429297322042,1260.429297322042,980.9972381170368,5.761718748784618,1.6,1260.429297322042,0.6328125000000142,0.6328125000000142,1471.874429901834,981.174533746844,1471.874429901834,0.7342724156880625,0.6328125000000142,0.6796875000000142,6844.303840973947,1258.738484344599,5.923874236566561,1477.140836533434,980.9972381170368,-275.0463059295822,1258.365234746248,980.9972381170368,3851.514932803749,1259.10754778274,1.2,1260.482371734948,1.6,5.608654421635672,0.6328125000000142,0.6328125000000142,0.6328125000000142,996.0624474922987,0.6328125000000142,5.49926757696498
0.4239819093752999,1261.009719996948,1261.009719996948,1261.009719996948,982.0751659418632,5.096435545799954,1.6,1261.009719996948,0.6328125000000142,0.6328125000000142,1480.022697708587,981.8955293009079,1480.022697708587,0.707030858699848,0.6328125000000142,0.6796875000000142,6848.73891930129,1259.641279705029,6.003471551901438,1473.780295763798,981.3558462834606,-276.3920196126137,1259.71094842928,981.3558462834606,3876.288158802637,1259.407672544272,1.2,1262.902908565283,1.6,5.606907318764459,0.6426896916906677,0.6426896916906677,0.6328125000000142,1000.632140268202,0.6328125000000142,5.49926757696498
0.5438555729259065,1260.760967421988,1260.760967421988,1260.760967421988,982.0751659418632,5.52368163945983,1.6,1260.760967421988,0.6328125000000142,0.6328125000000142,1478.255040418977,982.0751659418632,1478.255040418977,0.6836020234520411,0.6328125000000142,0.6796875000000142,6849.954876482125,1259.434287022202,6.174308410186172,1467.271772413159,982.0751659418632,-276.1153582055358,1259.434287022202,982.0751659418632,3876.245752797017,1258.465989467387,1.2,1261.341333637917,1.6,5.697850262713179,0.6796875000000142,0.6796875000000142,0.6328125000000142,1003.410702126692,0.6328125000000142,5.511474608212405
0.6637775958814132,1260.429297322042,1260.429297322042,1260.429297322042,982.0751659418632,4.901123045841153,1.6,1260.429297322042,0.6328125000000142,0.6328125000000142,1481.183206925428,982.0751659418632,1481.183206925428,0.6796875000000142,0.6328125000000142,0.6406269686868808,6849.29162964635,1259.434287022202,5.981138679568797,1463.603657726679,981.7164207683287,-276.1153582055358,1259.434287022202,981.7164207683287,3885.349385824369,1259.322732296652,1.2,1261.848591870646,1.6,5.638978357681226,0.6510478796127244,0.6510478796127244,0.6328125000000142,1000.945107158689,0.6328125000000142,5.49926757696498
0.7837423517965476,1259.848874647135,1259.848874647135,1259.848874647135,980.9972381170368,5.456542967598993,1.6,1259.848874647135,0.6328125000000142,0.6328125000000142,1480.663659939901,981.1808044930173,1480.663659939901,0.6796875000000142,0.6328125000000142,0.6328125000000142,6849.703775223342,1259.019505656007,6.398450320570952,1467.027258491602,981.3556159950931,-275.8396829147233,1259.158611731389,981.3556159950931,3860.483474593075,1260.26432202304,1.524219277558937,1262.445556825653,1.6,5.536079276771928,0.6708069465889521,0.6708069465889521,0.6708069465889521,1003.052740969487,0.6623104115627431,5.49926757696498
0.904156254736165,1260.429297322042,1260.429297322042,1260.429297322042,982.0751659418632,5.786132811279469,1.6,1260.429297322042,0.6720119921265554,0.6132127539367437,1476.665116863838,981.8986615470584,1476.665116863838,0.6992872460632847,0.6328125000000142,0.6328125000000142,6849.955419674718,1259.35787749663,6.46167657125386,1472.129219254779,982.0751659418632,-275.7879933462732,1259.106922162939,982.0751659418632,3826.55995407567,1259.40497358694,1.2,1260.468241118572,1.6,5.525019401285404,0.632445571042065,0.632445571042065,0.6335463579159126,996.8904105512258,0.6634507595743716,5.49926757696498
1.023723929291748,1260.097627222095,1260.097627222095,1260.097627222095,980.9972381170368,6.024169920604256,1.6,1260.097627222095,0.6992413718628292,0.6093750000000142,1472.334690351415,981.1758523391318,1472.334690351415,0.7031250000000142,0.6328125000000142,0.6328125000000142,6849.982574196995,1260.263930023173,6.439315558103689,1476.811296498459,981.7167529402807,-276.8889793289928,1260.207908145659,981.7167529402807,3858.152437628748,1259.267831475288,1.2,1262.390372371842,1.6,5.654341245467196,0.6143352253478462,0.6143352253478462,0.6796875000000142,991.69309025206,0.6629641726400107,5.49926757696498
1.143689736157114,1260.097627222095,1260.097627222095,1260.097627222095,980.9972381170368,6.048583983099107,1.6,1260.097627222095,0.7031250000000142,0.6093750000000142,1467.054492496582,980.9972381170368,1467.054492496582,0.7226788503778772,0.6132586496221513,0.6328125000000142,6845.140121656817,1260.429297322042,6.143192621622331,1481.017019273099,981.3548129046046,-277.1103685053756,1260.429297322042,981.3548129046046,3862.66338110268,1259.986003145268,1.2,1262.310392742024,1.6,5.711980745428211,0.6714824029935497,0.6714824029935497,0.6603525485032464,1004.59966344423,0.6244883975065717,5.49926757696498
