time,prs_tur_down,prs_thr_up_sp,prs_sp_bpa,prs_bpa,prs_thr_up,fup_mes,soi_main1_chk_tu[4],prs_eg[0],soi_main1_chk_tu[3],soi_main1_chk_tu[2],soi_main1_chk_tu[5],poil,prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[1],map,prs_bpa_dif,egbp_mes[0],prs_cmpr_down,prs_up_cmp_prot[0],amp_mes,pfu_mes,pfu_l_mes,map_mes,prs_thr_down,n,fup,soi_main1,soi_main1_chk_tu[0],soi_main1_tu,fup_sp,soi_main1_bas
0.1497302379555663,984.2310215915161,1226.433112077516,1226.433112077516,1226.433112077516,1226.433112077516,5.627441405062943,0.6328125000000142,1455.368398565652,0.6328125000000142,0.6328125000000142,0.6328125000000142,6849.982574196995,984.2310215915161,1455.368398565652,0.6328125000000142,1225.147283193251,-247.7015087629913,1436.623039698033,1225.050375780619,984.2310215915161,984.2310215915161,5.733742614207471,3901.287139544736,1225.465296640032,1226.970665226408,995.6196569262283,5.551616895411306,0.6328125000000142,0.6796875000000142,0.6328125000000142,5.511474608212405,0.648493772727443
0.2697425295089602,984.2310215915161,1225.769771877623,1225.769771877623,1225.769771877623,1225.769771877623,6.207275389315632,0.6328125000000142,1444.720494382166,0.6328125000000142,0.6328125000000142,0.6328125000000142,6849.291151847417,984.2310215915161,1444.720494382166,0.6719000422796956,1224.527088979298,-247.482055953553,1442.484368630713,1224.830922971181,984.2310215915161,984.2310215915161,5.395631904102231,3909.551717918419,1225.686854352636,1228.103087171528,999.6433008898885,5.51049300895436,0.6600193411517042,0.6524806588483242,0.6600193411517042,5.49926757696498,0.6328125000000142
0.3896268707538297,984.2310215915161,1225.769771877623,1225.769771877623,1225.769771877623,1225.769771877623,5.822753905021743,0.6328125000000142,1442.875146774581,0.6328125000000142,0.6718262844593608,0.6328125000000142,6854.67434008459,984.2310215915161,1442.875146774581,0.6796875000000142,1223.945019112716,-246.4857848518586,1449.120433982865,1223.834651869486,984.2310215915161,984.2310215915161,5.242888639448099,3994.531682225752,1225.686854352636,1228.826349517055,1003.0,5.595834177870437,0.6796875000000142,0.6328125000000142,0.6796875000000142,5.49926757696498,0.6328125000000142
0.509620276365979,984.2310215915161,1226.101441977569,1226.101441977569,1226.101441977569,1226.101441977569,6.048583983099107,0.6328125000000142,1443.207074381773,0.6328125000000142,0.6796875000000142,0.6328125000000142,6845.563532073695,984.2310215915161,1443.207074381773,0.6796875000000142,1223.945423064506,-246.7072723532704,1450.393338838202,1224.056139370898,984.2310215915161,984.2310215915161,5.263264704768427,3934.10403752111,1225.576295824153,1226.162476071271,999.0718128734306,5.651307578814084,0.6336540571105291,0.6328125000000142,0.6336540571105291,5.49926757696498,0.6328125000000142
0.6294907318786613,984.2310215915161,1225.272266727703,1225.272266727703,1225.272266727703,1225.272266727703,5.541992186330968,0.6328125000000142,1443.262439917602,0.6718832802386099,0.6796875000000142,0.6328125000000142,6848.76756366719,984.2310215915161,1443.262439917602,0.6406167197614185,1223.945804861409,-246.4870015597867,1449.009920155086,1223.835868577414,984.2310215915161,984.2310215915161,5.31648632119412,3851.430593669371,1225.355184252689,1228.274992729047,999.7312945048047,5.524273324989534,0.6413823574781949,0.6328125000000142,0.6413823574781949,5.49926757696498,0.6328125000000142
0.7493052413763621,984.2310215915161,1225.438101777676,1225.438101777676,1225.438101777676,1225.438101777676,5.236816405145341,0.6719400405289936,1444.508273704281,0.6796875000000142,0.6796875000000142,0.6328125000000142,6845.1102559529,984.2310215915161,1444.508273704281,0.6328125000000142,1224.277256427863,-246.9283894102355,1445.846762074495,1224.277256427863,984.2310215915161,983.8696322723305,5.558680451004424,3889.869090244565,1225.355184252689,1226.741285212085,1003.761964678114,5.542572559284429,0.6796875000000142,0.6328125000000142,0.6796875000000142,5.49926757696498,0.6328125000000142
0.868927796051878,983.1530937666897,1226.433112077516,1226.433112077516,1226.433112077516,1226.433112077516,5.200195311403067,0.6796875000000142,1448.614562805625,0.6796875000000142,0.6407247090697341,0.6328125000000142,6848.175798008989,983.3350412933478,1448.614562805625,0.6328125000000142,1224.401256803607,-247.0112578018086,1437.294638255587,1224.360124819436,983.8719252280328,983.1530937666897,5.737282987390829,3878.554177715376,1225.465675441453,1228.067911682424,1000.964496505972,5.544793718281555,0.6526640391025053,0.6328125000000142,0.6526640391025053,5.511474608212405,0.6328125000000142
0.9888514273814621,983.1530937666897,1225.769771877623,1225.769771877623,1225.769771877623,1225.769771877623,5.303955077006179,0.6796875000000142,1456.717832856601,0.6406510542686267,0.6328125000000142,0.6718489457314017,6849.816186096022,983.1530937666897,1456.717832856601,0.6328125000000142,1224.526009002823,-247.1771419851954,1430.657369599093,1224.526009002823,983.1530937666897,983.1530937666897,5.926326434576228,3862.688921624797,1225.686854352636,1228.744422689148,996.4451310095127,5.512851897320777,0.6328125000000142,0.6328125000000142,0.6328125000000142,5.535888670707255,0.6652109823315793
1.108708111640965,983.1530937666897,1225.769771877623,1225.769771877623,1225.769771877623,1225.769771877623,5.40161132698558,0.6796875000000142,1457.359613389606,0.6328125000000142,0.6328125000000142,0.6796875000000142,6849.982574196995,983.1530937666897,1457.359613389606,0.6328125000000142,1224.649671446937,-247.2594728962011,1431.935462157261,1224.608339913829,983.1530937666897,983.1530937666897,6.091783577579919,3871.654707033679,1225.686854352636,1225.852195393746,999.9116406963703,5.379893776441751,0.6328125000000142,0.6328125000000142,0.6328125000000142,5.560302733202105,0.6656052371871632
1.228620857179351,983.1530937666897,1224.85767910277,1224.85767910277,1224.85767910277,1224.85767910277,5.767822264408331,0.6796875000000142,1461.892335033226,0.6328125000000142,0.6328125000000142,0.6796875000000142,6849.291434356132,984.0515755598113,1461.892335033226,0.6328125000000142,1224.815983538758,-247.4533383830468,1431.645781631096,1224.802205400674,983.5098634642775,983.5098634642775,6.056017396666289,3921.067581172626,1225.57707906107,1228.676943722123,1003.112589825131,5.579405421306512,0.6713680296106146,0.6411319703894138,0.6713680296106146,5.54809570195468,0.6796875000000142
