time,prs_thr_up_sp,prs_tur_down,fup_mes,prs_bpa,prs_thr_up,prs_sp_bpa,prs_eg[0],soi_main1_chk_tu[1],soi_main1_chk_tu[4],soi_main1_chk_tu[3],prs_eg_mes[0],soi_main1_chk_tu[2],poil,prs_cmpr_up,soi_main1_chk_tu[5],map,prs_up_cmp_prot[0],prs_bpa_dif,pfu_mes,egbp_mes[0],pfu_l_mes,prs_cmpr_down,amp_mes,map_mes,soi_main1_tu,soi_main1,prs_thr_down,n,soi_main1_chk_tu[0],fup,soi_main1_bas
0.1596137336655374,984.2310215915161,984.2310215915161,7.531738279661249,984.2310215915161,984.2310215915161,984.2310215915161,2123.390895139983,-4.1484375,-4.1484375,-4.1484375,2123.390895139983,-4.1484375,6849.295931786297,984.2310215915161,-4.152466338799219,984.2310215915161,984.2310215915161,-33.99618524452251,7.904189480012142,2103.39711475058,4694.458594644084,984.2310215915161,984.2310215915161,1570.292831284278,-4.1484375,2.859375000000014,984.2310215915161,1401.0,-4.171875,8.047972876078475,2.854548600543765
0.2452435634972971,984.2310215915161,984.2310215915161,8.30688476387274,984.2310215915161,984.2310215915161,984.2310215915161,2118.46540681861,-4.167944934000255,-4.1484375,-4.1484375,2118.46540681861,-4.1484375,6849.705508394345,984.2310215915161,-4.1484375,984.2310215915161,984.2310215915161,-33.99618524452251,8.001752734730795,2105.880554174597,4705.770349172461,984.2310215915161,984.2310215915161,1570.927838751849,-4.1484375,2.852711811701144,984.2310215915161,1399.86281586366,-4.171875,8.033901171844635,2.835937500000014
0.3308863846991699,984.2310215915161,984.2310215915161,7.940673826449988,984.2310215915161,984.2310215915161,984.2310215915161,2119.341686514073,-4.171875,-4.1484375,-4.1484375,2119.341686514073,-4.1484375,6849.264759637776,984.2310215915161,-4.1484375,984.2310215915161,984.2310215915161,-33.99618524452251,7.985273645123391,2106.343019763858,4705.901566041292,984.2310215915161,984.2310215915161,1570.734991275423,-4.151792012330666,2.835937500000014,984.2310215915161,1397.143125859442,-4.171875,8.07496265098277,2.835937500000014
0.4169990255822995,984.2310215915161,984.2310215915161,8.447265623218128,984.2310215915161,984.2310215915161,984.2310215915161,2123.178201781944,-4.171875,-4.1484375,-4.1484375,2123.178201781944,-4.168080096422385,6849.848317551782,984.2310215915161,-4.1484375,984.2310215915161,984.2310215915161,-33.99618524452251,8.052591145889664,2100.085631922434,4649.021559544841,984.2310215915161,984.2310215915161,1570.597445806324,-4.171875,2.835937500000014,984.2310215915161,1397.994964109159,-4.171875,8.111418580721796,2.835937500000014
0.502544876170532,984.2310215915161,984.2310215915161,7.818603513975737,984.2310215915161,984.2310215915161,984.2310215915161,2120.54229112947,-4.171875,-4.1484375,-4.1484375,2120.54229112947,-4.171875,6849.982574196995,984.2310215915161,-4.1484375,984.2310215915161,984.2310215915161,-33.99618524452251,8.105276739631638,2099.97445481317,4671.616223602854,984.2310215915161,984.2310215915161,1570.019065760539,-4.171875,2.835937500000014,984.2310215915161,1397.138181668321,-4.171875,8.085271655652921,2.835937500000014
0.5880737291779496,984.2310215915161,984.2310215915161,8.544921873197527,984.2310215915161,984.2310215915161,984.2310215915161,2123.859321439384,-4.152430510870108,-4.167881989129892,-4.167881989129892,2123.859321439384,-4.171875,6849.982574196995,984.2310215915161,-4.1484375,984.2310215915161,984.2310215915161,-33.99618524452251,8.211273542115036,2095.544682871882,4698.90937534622,984.2310215915161,984.2310215915161,1568.883240674787,-4.171875,2.835937500000014,984.2310215915161,1397.0,-4.155048239148019,8.12049240653389,2.859375000000014
0.6739334543890436,984.2310215915161,984.2310215915161,8.06884765454795,984.2310215915161,984.2310215915161,984.2310215915161,2126.201512479103,-4.1484375,-4.171875,-4.171875,2126.201512479103,-4.15230909074219,6849.982574196995,984.2310215915161,-4.1484375,984.2310215915161,984.2310215915161,-33.99618524452251,8.072348717544735,2092.453006572342,4610.742860009375,984.2310215915161,984.2310215915161,1570.348483294139,-4.158330432843107,2.849482067156907,984.2310215915161,1396.422098467973,-4.1484375,8.086605091993034,2.859375000000014
0.7594962876535192,984.2310215915161,984.2310215915161,7.97119140456855,984.2310215915161,984.2310215915161,984.2310215915161,2128.288848518318,-4.1484375,-4.171875,-4.152458376006847,2128.288848518318,-4.1484375,6845.174105360405,984.2310215915161,-4.167854123993153,984.2310215915161,984.2310215915161,-33.99618524452251,7.971465649988275,2092.787695714365,4687.659357595178,984.2310215915161,984.2310215915161,1570.790986367472,-4.168817996232161,2.838994503767853,984.2310215915161,1396.434783919619,-4.1484375,8.079727922586512,2.859375000000014
0.8452940289089383,984.2310215915161,984.2310215915161,7.934570310826276,984.2310215915161,984.2310215915161,984.2310215915161,2121.614315312456,-4.1484375,-4.19139626410975,-4.1484375,2121.614315312456,-4.1484375,6848.322104003682,984.2310215915161,-4.171875,984.2310215915161,984.2310215915161,-33.99618524452251,8.164198710609137,2094.396138808928,4698.805836927699,984.2310215915161,984.2310215915161,1570.593855921907,-4.188430802053377,2.819381697946637,984.2310215915161,1396.706380887611,-4.1484375,8.096170473458992,2.859375000000014
0.9313096846190092,984.2310215915161,984.2310215915161,7.763671873362325,984.2310215915161,984.2310215915161,984.2310215915161,2125.89668072025,-4.1484375,-4.175679437321364,-4.1484375,2125.89668072025,-4.1484375,6844.985911036165,984.2310215915161,-4.171875,984.2310215915161,984.2310215915161,-33.99618524452251,7.855802948959641,2099.248000307592,4689.810133035982,984.2310215915161,984.2310215915161,1571.038950296114,-4.171875,2.835937500000014,984.2310215915161,1396.0,-4.152058500349764,8.035946872485134,2.859375000000014
