time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,prs_thr_up_sp,prs_eg[0],prs_cmpr_up,prs_eg_mes[0],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,prs_thr_down,fup,n,fup_sp
0.09323565635349951,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,8.294677732625313,982.0751659418632,2356.516060120547,982.0751659418632,2356.516060120547,6849.153398947128,982.0751659418632,7.916259765625,2339.435049973297,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4701.257831692989,1648.980819409476,982.0751659418632,8.06884765454795,1597.0,7.998657224875257
0.1681178902845204,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,7.879638670212863,982.0751659418632,2364.035302520448,982.0751659418632,2364.035302520448,6849.700252939849,982.0751659418632,8.003566107249716,2340.152211449458,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4701.257831692989,1648.649821805094,982.0751659418632,7.997737210979738,1598.941789179446,8.000616765437048
0.2432306909631734,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,8.435058591970702,982.0751659418632,2358.861986083886,982.0751659418632,2358.861986083886,6849.955004489577,982.0751659418632,8.090882265151961,2341.646401935517,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4701.257831692989,1648.318786985037,982.0751659418632,8.005253391965917,1600.398985053493,7.998657224875257
0.3180599862835152,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,7.922363279578851,982.0751659418632,2367.95228833456,982.0751659418632,2367.95228833456,6845.174118578626,982.0751659418632,8.013600429059567,2339.277253627531,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4732.88506644977,1649.173668401896,982.0751659418632,8.071341686798176,1601.0,8.038330076429387
0.3931482786201741,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,8.282470701377889,982.0751659418632,2367.224433847244,982.0751659418632,2367.224433847244,6843.352604484754,982.0751659418632,8.127737849291952,2335.677997917432,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4764.674310411339,1649.727302223579,982.0751659418632,8.053009105537644,1601.0,8.038330076429387
0.4680305658803263,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,8.081054685795376,982.0751659418632,2372.674000592503,982.0751659418632,2372.674000592503,6847.989475439577,982.0751659418632,8.044051758620256,2337.614854661583,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4703.513337392113,1649.756179396615,982.0751659418632,7.995177290699718,1600.352131970326,8.038330076429387
0.543120849776642,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,8.050537107676814,982.0751659418632,2370.745030158217,982.0751659418632,2370.745030158217,6854.662873401093,982.0751659418632,8.15405050451859,2337.008101980952,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4708.057068741894,1648.979982660961,982.0751659418632,7.989452237616561,1600.0,8.038330076429387
0.6179061284292402,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,7.916259763955138,982.0751659418632,2367.384845239676,982.0751659418632,2367.384845239676,6846.915311765348,982.0751659418632,8.040372402163586,2338.440358334747,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4726.179657463733,1649.146415463483,982.0751659418632,8.015305452655335,1599.852303803339,7.998657224875257
0.6930264042048293,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,8.020019529558251,982.0751659418632,2365.420577993537,982.0751659418632,2365.420577993537,6844.181169562584,982.0751659418632,8.069119047312627,2340.500332032092,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4744.239046038677,1650.946764841209,982.0751659418632,7.960182842315663,1599.099696430009,7.998657224875257
0.7683066764839168,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,8.013916013934539,982.0751659418632,2369.713505476483,982.0751659418632,2369.713505476483,6848.309321654837,982.0751659418632,8.123169090191018,2344.272916980539,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4717.205113572205,1651.737451947076,982.0751659418632,7.952880857697413,1600.307390595314,7.998657224875257
0.8430409427255654,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,7.965087888944838,982.0751659418632,2364.383012745577,982.0751659418632,2364.383012745577,6849.153398947128,982.0751659418632,8.054290757796469,2340.805494779491,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4735.254016937515,1650.141664759289,982.0751659418632,7.977397447322247,1601.0,7.998657224875257
0.9182172065284249,982.0751659418632,982.0751659418632,982.0751659418632,982.0751659418632,7.958984373321125,982.0751659418632,2360.669208190007,982.0751659418632,2360.669208190007,6849.704566487011,982.0751659418632,8.061857310780809,2345.570946822309,982.0751659418632,-12.43762874799394,982.0751659418632,982.0751659418632,4728.405384042813,1649.529185394722,982.0751659418632,8.01767856055755,1600.537658270867,7.998657224875257
