Rank,Sensor,Nominal Mean,Fault Mean,Nominal Std,Fault Std,% Change,t Statistic,p Value,Effect Size,Absolute Effect,Effect_Norm,Pct_Norm,P_Norm,Importance Score
1,time,300.472025704718,631.9954843533702,173.4557071820188,364.86508722888783,110.3342175935038,-97.1009902141601,0.0,-1.0488111437265895,1.0488111437265895,1.0,1.0,1.0,1.0
2,map_mes,1650.8242012008943,1690.1726929491651,1.3468287841027382,64.28486648935372,2.3835664463633806,-79.4109384373466,0.0,-0.7434618880542773,0.7434618880542773,0.7088615452851132,0.021603148128941995,1.0,0.5609117170812392
3,fup_mes,7.986234251199362,8.946911577905313,0.16805392967259272,1.7701789824874679,12.029165392458623,-69.78231722670003,0.0,-0.6578338740014033,0.6578338740014033,0.6272186159884009,0.10902479443663422,1.0,0.5463167463251908
4,fup_sp,8.011354653101606,8.960712202311303,0.019039425758065873,1.7511101844167367,11.850150072212225,-70.35964794253194,0.0,-0.6585500989813504,0.6585500989813504,0.6279015082175989,0.10740231209026067,1.0,0.5461714477358777
5,fup,8.020119201612383,8.963091715555615,0.03218465676517617,1.7495777207130347,11.75758726570616,-69.93146760987005,0.0,-0.6546596020033884,0.6546596020033884,0.6241920730144808,0.10656338099050804,1.0,0.5440650508043928
6,pfu_mes,8.070999126430268,9.019445723665697,0.10311984734869549,1.7690620152566239,11.75129104065359,-69.34024687494991,0.0,-0.6507345881441987,0.6507345881441987,0.6204497273284466,0.10650631596399228,1.0,0.542176758453421
7,prs_eg[0],2362.6917324313335,2393.9856111392287,4.053755548450115,56.56895847056654,1.3245011305682315,-71.41848255276138,0.0,-0.6711756762035973,0.6711756762035973,0.6399394974187684,0.012004445759954479,1.0,0.5235710824373705
8,prs_eg_mes[0],2362.6917324313335,2393.9856111392287,4.053755548450115,56.56895847056654,1.3245011305682315,-71.41848255276138,0.0,-0.6711756762035973,0.6711756762035973,0.6399394974187684,0.012004445759954479,1.0,0.5235710824373705
9,egbp_mes[0],2337.447799307003,2365.1182209644808,3.3833551177184713,51.779376944393796,1.1837877904987324,-69.05254835372989,0.0,-0.6484898113972298,0.6484898113972298,0.6183094213635493,0.01072910848799485,1.0,0.512373443228173
10,n,1600.0081591139415,1599.1723869107536,1.1929930798245596,1.4395540237447995,-0.05223549632713629,48.20327050100286,0.0,0.6123063432156803,0.6123063432156803,0.583809913613294,0.0004734297071791787,1.0,0.4920469857188008
11,prs_bpa_dif,-12.343034206864068,-12.144503113681942,0.3076098594911892,0.341618666872134,1.6084464310381734,-45.86587574786606,0.0,-0.5997210555372112,0.5997210555372112,0.5718103389007756,0.014577947495527216,1.0,0.490278553699046
12,pfu_l_mes,4628.429834387507,4551.922197945464,88.3432764098895,149.0192369793288,-1.6529933299111437,50.53421959492934,0.0,0.5772763953131614,0.5772763953131614,0.5504102418877896,0.014981692587889143,1.0,0.47969962872026156
13,map,981.9804593535756,982.0315717734462,0.29683297357108457,0.3328727396187672,0.005205034314455939,-12.192818408887925,4.66750589600586e-34,-0.15888324248355903,0.15888324248355903,0.15148889619824416,4.717515951064666e-05,1.0,0.27575860064697527
14,amp_mes,981.983123973515,982.0340683938261,0.30954901308770577,0.3465211031645731,0.005187911998423059,-11.661201990420587,2.6282547860405697e-31,-0.1520499909996421,0.1520499909996421,0.14497366080549523,4.701997359999869e-05,1.0,0.27250093639482764
15,prs_thr_down,981.9831088285374,982.033256440789,0.307857760134118,0.3442246131322462,0.005106769332464282,-11.54691612130176,9.8972468933939e-31,-0.15062178861562725,0.15062178861562725,0.14361192624293118,4.62845474762759e-05,1.0,0.2718198484857085
16,prs_up_cmp_prot[0],981.9807062378355,982.0305381255879,0.3074160139286155,0.34158798633581466,0.005074630024379757,-11.51742607805287,1.3925531086332625e-30,-0.150567907962035,0.150567907962035,0.14356055316788852,4.599325698828845e-05,1.0,0.27179407456104077
17,prs_cmpr_down,981.980841074015,982.0304095039415,0.307220301519686,0.34157071871211636,0.00504780010497621,-11.461345199260732,2.65181534894028e-30,-0.14980384847817,0.14980384847817,0.14283205262855386,4.575008746220005e-05,1.0,0.2714297513405156
18,prs_cmpr_up,981.9836981290903,982.0326573956589,0.33269030867924243,0.37033491797895013,0.00498575146022664,-10.449151160994962,1.7593876015639956e-25,-0.13651616833580701,0.13651616833580701,0.1301627744445428,4.518771754556937e-05,0.9999999999999937,0.2650949435375338
19,prs_thr_up,981.98409429112,982.0356192977565,0.37386351412805574,0.41155079112572696,0.005247030673521002,-9.825958866006715,9.99046924504026e-23,-0.12887954516162184,0.12887954516162184,0.12288155587639232,4.755578811327823e-05,0.9999999999963843,0.261455044673907
20,prs_tur_down,981.9839597687408,982.0354913310176,0.3736366954342073,0.41187353590900705,0.005247698983698241,-9.828171340638796,9.772929847226674e-23,-0.12884538745777877,0.12884538745777877,0.12284898785492593,4.756184525667233e-05,0.9999999999964632,0.2614387624803326
21,prs_thr_up_sp,981.9839597687408,982.0352993809094,0.3736366954342073,0.411771255906688,0.005228151810206824,-9.792452959856165,1.3896765324225545e-22,-0.12838836405271972,0.12838836405271972,0.12241323408953861,4.738468196211367e-05,0.9999999999949706,0.26122083244835204
22,prs_sp_bpa,981.9839597687408,982.0352993809094,0.3736366954342073,0.411771255906688,0.005228151810206824,-9.792452959856165,1.3896765324225545e-22,-0.12838836405271972,0.12838836405271972,0.12241323408953861,4.738468196211367e-05,0.9999999999949706,0.26122083244835204
