Rank,Sensor,Nominal Mean,Fault Mean,Nominal Std,Fault Std,% Change,t Statistic,p Value,Effect Size,Absolute Effect,Effect_Norm,Pct_Norm,P_Norm,Importance Score
1,prs_bpa_dif,-12.343034206864068,-34.11935149388909,0.3076098594911892,0.3393328538890132,-176.42596562614258,5046.032445530206,0.0,66.09665270184112,66.09665270184112,1.0,1.0,1.0,1.0
2,time,300.472025704718,633.3608914628658,173.4557071820188,365.6456157680923,110.78863830248432,-97.45564826419658,0.0,-1.0507561765576432,1.0507561765576432,0.015897267616524467,0.6279610708621667,1.0,0.39633695506691224
3,map,981.9804593535756,984.3539505740271,0.29683297357108457,0.32952113475716177,0.24170452658639385,-568.6337804267125,0.0,-7.431760189901426,7.431760189901426,0.11243776932889091,0.0013700054055454656,1.0,0.2566298862861091
4,prs_up_cmp_prot[0],981.9807062378355,984.3541886495042,0.3074160139286155,0.33933607798106896,0.241703568776003,-550.2038880268626,0.0,-7.205345536193344,7.205345536193344,0.10901226070700308,0.0013699999765804747,1.0,0.2549171303464757
5,prs_cmpr_down,981.980841074015,984.3545078411242,0.307220301519686,0.33972656379303856,0.2417223094203295,-550.2365441221912,0.0,-7.2012222273082465,7.2012222273082465,0.10894987768582805,0.0013701062004249072,1.0,0.25488597070304153
6,prs_thr_down,981.9831088285374,984.3569950135895,0.307857760134118,0.34233017446175634,0.24174409556637594,-548.02407141193,0.0,-7.158185834321636,7.158185834321636,0.10829876463808046,0.0013702296864773662,1.0,0.25456045122498344
7,amp_mes,981.983123973515,984.3584778228403,0.30954901308770577,0.34509501880724136,0.24189355105346438,-544.8490716337906,0.0,-7.110271290052391,7.110271290052391,0.10757384828739344,0.0013710768151103767,1.0,0.25419824718822986
8,prs_cmpr_up,981.9836981290903,984.3568011021042,0.33269030867924243,0.3689565543030569,0.24166419234201764,-507.4512736232016,0.0,-6.634488250945142,6.634488250945142,0.10037555579210652,0.0013697767870185212,1.0,0.25059871093215885
9,prs_thr_up,981.98409429112,984.3586810125316,0.37386351412805574,0.4166362437399141,0.24181519183626432,-451.0384464338123,0.0,-5.8868350798494635,5.8868350798494635,0.08906404241686336,0.0013706326672383673,1.0,0.2449432110086032
10,prs_tur_down,981.9839597687408,984.3589362037781,0.3736366954342073,0.4168880299409382,0.2418549113161287,-451.18359261165193,0.0,-5.88621292695711,5.88621292695711,0.08905462964228368,0.0013708578012186373,1.0,0.24493857216150744
11,prs_bpa,981.9839597687408,984.3590000015896,0.3736366954342073,0.416950928328036,0.2418614081444032,-451.17044142579067,0.0,-5.885727975355642,5.885727975355642,0.08904729263531518,0.0013708946258903995,1.0,0.24493491470542472
12,prs_sp_bpa,981.9839597687408,984.3590000015896,0.3736366954342073,0.416950928328036,0.2418614081444032,-451.17044142579067,0.0,-5.885727975355642,5.885727975355642,0.08904729263531518,0.0013708946258903995,1.0,0.24493491470542472
13,prs_thr_up_sp,981.9839597687408,984.3590000015896,0.3736366954342073,0.416950928328036,0.2418614081444032,-451.17044142579067,0.0,-5.885727975355642,5.885727975355642,0.08904729263531518,0.0013708946258903995,1.0,0.24493491470542472
14,map_mes,1650.8242012008943,1642.3481293603627,1.3468287841027382,20.988382132097705,-0.5134448498129419,52.26733140609179,0.0,0.4898618912944934,0.4898618912944934,0.0074112965070143155,0.002910256707342971,1.0,0.20457872526571005
