Rank,Sensor,Nominal Mean,Fault Mean,Nominal Std,Fault Std,% Change,t Statistic,p Value,Effect Size,Absolute Effect,Effect_Norm,Pct_Norm,P_Norm,Importance Score
1,prs_bpa_dif,-6.1972293794375695,-11.164485053371148,0.5460819617669682,0.2600403633647981,-80.15284524427886,645.9393489260501,0.0,13.376716563796233,13.376716563796233,1.0,0.6252168228313287,1.0,0.8875650468493985
2,time,277.190575118411,632.5491076995557,160.04961381683472,365.1798435862451,128.20007766474086,-91.25274919902466,0.0,-1.1208152487502219,1.1208152487502219,0.08378851741418233,1.0,1.0,0.5418942587070912
3,map,983.5670424499837,981.0508630949164,0.37988350458014375,0.24765415676708144,-0.2558218450264124,452.7979649932964,0.0,8.549340623188884,8.549340623188884,0.6391210116784168,0.0019954890019288317,1.0,0.5201591525397871
4,amp_mes,983.5675684918984,981.0506865436101,0.39885300852925737,0.26018431176283857,-0.2558931413474144,431.34063866379074,0.0,8.14248513916928,8.14248513916928,0.6087058135930549,0.0019960451351410786,1.0,0.5049517203370697
5,prs_up_cmp_prot[0],983.5677599656385,981.0510301296542,0.3987941148891466,0.26019851197752747,-0.25587762617109394,431.36454802282367,0.0,8.142384122871286,8.142384122871286,0.6086982619418323,0.001995924111998167,1.0,0.5049479082045156
6,prs_cmpr_down,983.567177445115,981.0510300533556,0.39861158802551344,0.26043860715901174,-0.2558185601816545,431.3684505015073,0.0,8.138687385022633,8.138687385022633,0.6084219057948643,0.00199546337913033,1.0,0.5048095919111713
7,prs_thr_down,983.5674892691251,981.0508805535377,0.4292167243830006,0.2849429779428278,-0.25586538219735555,399.6637501724821,0.0,7.500021176659889,7.500021176659889,0.5606772888466904,0.0019958286052405936,1.0,0.4809373930049174
8,prs_cmpr_up,983.566842198388,981.0507745862043,0.4501383926032441,0.29459518379725474,-0.25581053612584564,381.8775808974374,0.0,7.200901548636254,7.200901548636254,0.5383160743739853,0.001995400789029333,1.0,0.4697566574237015
9,prs_tur_down,983.5674271351429,981.050862094017,0.5252022589391434,0.3444407692340434,-0.2558609579473303,327.25450869006045,0.0,6.16655738452212,6.16655738452212,0.46099185514715635,0.0019957940947308824,1.0,0.43109466580199746
10,prs_thr_up,983.567427135143,981.0509473259158,0.5252022589391434,0.3445608446650334,-0.2558522923595627,327.225326447563,0.0,6.165283964994789,6.165283964994789,0.4608966584281963,0.0019957265004834726,1.0,0.43104704716424325
