Rank,Sensor,Nominal Mean,Fault Mean,Nominal Std,Fault Std,% Change,t Statistic,p Value,Effect Size,Absolute Effect,Effect_Norm,Pct_Norm,P_Norm,Importance Score
1,prs_bpa_dif,-6.1972293794375695,1.818096407659975,0.5460819617669682,0.4137065961751928,129.33724566807913,-976.9300199822244,0.0,-17.496753718672434,17.496753718672434,1.0,1.0,1.0,1.0
2,time,277.190575118411,632.449572402991,160.04961381683472,365.1415996290447,128.16416904969424,-91.24887631575879,0.0,-1.120549213171505,1.120549213171505,0.06404326374987272,0.9909300943256872,1.0,0.5293006601726424
3,map,983.5670424499837,981.5005689208378,0.37988350458014375,0.3951713263027557,-0.21009991591405874,333.5974839078491,0.0,5.290817405888332,5.290817405888332,0.30238851680480605,0.0016244347467646136,1.0,0.3516815888264324
4,prs_cmpr_down,983.567177445115,981.5008321271453,0.39861158802551344,0.4137067434154289,-0.21008685175294686,318.13760191780585,0.0,5.050125990585333,5.050125990585333,0.2886321698176427,0.001624333738265133,1.0,0.34480338503030095
5,prs_up_cmp_prot[0],983.5677599656385,981.5011731207079,0.3987941148891466,0.4137360910156453,-0.21011128353808678,318.06860188889243,0.0,5.049792989659142,5.049792989659142,0.2886131376627901,0.0016245226381061163,1.0,0.3447939256228269
6,amp_mes,983.5675684918984,981.5009203825161,0.39885300852925737,0.4137612205674768,-0.21011755324050443,318.0399241750838,0.0,5.049508990020464,5.049508990020464,0.2885969061010248,0.0016245711137202773,1.0,0.34478582438462846
7,prs_thr_down,983.5674892691251,981.5008143350666,0.4292167243830006,0.4455876988833426,-0.2101202974484445,295.4752024142555,0.0,4.68990246207146,4.68990246207146,0.26804414907357493,0.0016245923311810782,1.0,0.3345094522361418
8,prs_cmpr_up,983.566842198388,981.5007977184373,0.4501383926032441,0.46534353262278016,-0.21005633692702366,282.0356920544298,0.0,4.483948670639569,4.483948670639569,0.25627317745544564,0.001624097806026391,1.0,0.3286238180695308
9,prs_thr_up,983.567427135143,981.5007328834777,0.5252022589391434,0.5402534385317539,-0.21012227475700943,242.1840798273632,0.0,3.8578386969616068,3.8578386969616068,0.22048882661270724,0.0016246076191869015,1.0,0.3107317955921097
10,prs_tur_down,983.5674271351429,981.5007328834777,0.5252022589391434,0.5402534385317539,-0.21012227475699788,242.18407982734988,0.0,3.8578386969613945,3.8578386969613945,0.22048882661269512,0.0016246076191868122,1.0,0.3107317955921036
11,prs_sp_bpa,983.5672327037172,981.5008180749599,0.5251560739935667,0.5402590252861293,-0.21009388682835628,242.1650686072578,0.0,3.8573878424762347,3.8573878424762347,0.22046305871926705,0.0016243881315326956,1.0,0.31071884579909337
12,prs_bpa,983.5672327037172,981.5008180749599,0.5251560739935667,0.5402590252861293,-0.21009388682835628,242.1650686072578,0.0,3.8573878424762347,3.8573878424762347,0.22046305871926705,0.0016243881315326956,1.0,0.31071884579909337
13,prs_thr_up_sp,983.5672327037172,981.5008180749599,0.5251560739935667,0.5402590252861293,-0.21009388682835628,242.1650686072578,0.0,3.8573878424762347,3.8573878424762347,0.22046305871926705,0.0016243881315326956,1.0,0.31071884579909337
14,ti_main1_tu_tmp,1.196320346320346,1.3529123528017069,0.06635389006841882,0.39838287361509944,13.089471140652927,-42.8780333481955,0.0,-0.4685350467279287,0.4685350467279287,0.026778398682488786,0.10120418965968016,1.0,0.24375045623914846
15,pfu_l_mes,4078.244628555349,4142.62087949818,214.68764873338614,101.65005083604217,1.578528430886093,-21.30512947901191,1.724583690859307e-97,-0.4418648051035,0.4418648051035,0.025254102115636713,0.012204747539908986,1.0,0.21628847531979106
