Rank,Sensor,Nominal Mean,Fault Mean,Nominal Std,Fault Std,% Change,t Statistic,p Value,Effect Size,Absolute Effect,Effect_Norm,Pct_Norm,P_Norm,Importance Score
1,prs_bpa_dif,-12.521618924399133,-34.02700843746332,0.28415106127414463,0.2567867475932143,-171.74607886492723,5391.508530256033,0.0,80.86416109474187,80.86416109474187,1.0,1.0,1.0,1.0
2,time,302.3950302073011,632.624284992294,174.5714768723609,365.1779747314715,109.20459061731623,-90.36928587619914,0.0,-1.0438408593321822,1.0438408593321822,0.01290857216844431,0.6358491054878879,1.0,0.39720901773058853
3,soi_main1_chk_tu[0],2.8480388606826064,0.6232201172013083,0.012587740824947163,5.323074664984913,-78.11756974931382,50.77938381646261,0.0,0.5081195751240265,0.5081195751240265,0.006283618951153215,0.454843395934243,1.0,0.3395948282558495
4,soi_main1_chk_tu[1],2.849909901052093,0.6274193211072203,0.011886360737079238,5.323832627170722,-77.98459099090826,50.719055926404344,0.0,0.5075156605396024,0.5075156605396024,0.006276150691095257,0.45406912056630205,1.0,0.33935881151543823
5,soi_main1_chk_tu[4],2.8526457856254455,0.6304652930434568,0.010405549808284054,5.322984466311269,-77.8989282083185,50.72012161534499,0.0,0.5075258477519313,0.5075258477519313,0.006276276670418989,0.4535703447971205,1.0,0.33920924177434564
6,soi_main1_tu,2.852427947871746,0.6305790088343826,0.010650114693061943,5.322829749815074,-77.8932537347746,50.714018464926006,0.0,0.5074648517065441,0.5074648517065441,0.006275522367838447,0.4535373048955321,1.0,0.3391989526525789
7,soi_main1_chk_tu[5],2.854279427866974,0.631240806257194,0.009236309373967775,5.322635190333941,-77.88440752877075,50.74308055071735,0.0,0.5077552520915809,0.5077552520915809,0.006279113580324984,0.45348579742553735,1.0,0.33918529601782366
8,soi_main1_chk_tu[2],2.852674891363462,0.6322351141459857,0.010349958886042152,5.3230152854564095,-77.8371129475675,50.68009941865855,0.0,0.5071253529418749,0.5071253529418749,0.0062713239842767665,0.45321042239796283,1.0,0.3390987887115272
9,soi_main1_chk_tu[3],2.857575625010878,0.6357086373555773,0.005623628558547917,5.32279775198209,-77.75356733198767,50.714888448059604,0.0,0.5074723747530302,0.5074723747530302,0.006275615400974316,0.45272397393793395,1.0,0.3389549998818674
10,map,982.1585307954158,984.2618434044776,0.27394557920386114,0.2470148087537,0.21415204807704985,-547.2959127266333,0.0,-8.214962332793547,8.214962332793547,0.10158965630236061,0.0012469108435685077,1.0,0.25116890140425085
11,amp_mes,982.1582437503195,984.2624318413222,0.2808972759594204,0.25578793531902516,0.21424124924797924,-532.4944162063077,0.0,-7.965293152727364,7.965293152727364,0.09850214291341113,0.0012474302217780069,1.0,0.24962530052323897
