,Variance
time,133021.39697084777
pfu_l_mes,9476.385179318504
egbp_mes[0],700.5883350841913
map_mes,278.6737698062921
prs_eg_mes[0],20.431331619854014
prs_eg[0],20.431331619854014
n,19.688220183296302
poil,6.469390307252414
prs_tur_down,0.2676897940532039
prs_thr_up,0.267615818008795
prs_bpa,0.26758927680411926
prs_sp_bpa,0.26758927680411926
prs_thr_up_sp,0.26758927680411926
prs_cmpr_up,0.2081294338367596
prs_thr_down,0.18450397429388088
amp_mes,0.17442792862520468
prs_bpa_dif,0.17264135053226318
prs_cmpr_down,0.17259050491907163
prs_up_cmp_prot[0],0.1724660584704549
map,0.16144421348004803
ti_main1_tu_[0],0.1591850230562047
fup_mes,0.050972568417310286
pfu_mes,0.02897288557970781
ti_main1_tu,0.02346951918140941
fup,0.0019690210229485043
soi_main1_chk_tu[1],0.0009249808848768181
soi_main1_chk_tu[2],0.0007934248874894033
soi_main1_bas,0.0006465002563953671
soi_main1_chk_tu[4],0.0005671701375431127
soi_main1,0.0004808815501718905
soi_main1_tu,0.0004805180441413631
soi_main1_chk_tu[0],0.00040853731268459045
soi_main1_chk_tu[3],0.000248672586923729
soi_main1_chk_tu[5],0.00011100730021647609
