,time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,prs_thr_up_sp,soi_main1_chk_tu[1],soi_main1_chk_tu[4],prs_eg[0],prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[2],soi_main1_chk_tu[5],soi_main1_chk_tu[3],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,ti_main1_tu,prs_thr_down,ti_main1_tu_[0],fup,soi_main1_tu,soi_main1,soi_main1_chk_tu[0],n,soi_main1_bas
time,1.0,-0.06836587057042984,-0.06836587057042984,-0.06869754752147546,-0.06867790152917083,0.09464564679812959,-0.06836587057042984,0.4555883343401097,-0.4614514019241353,-0.4013400590906046,-0.07693256129910404,-0.4013400590906046,0.4097680641571417,-0.26466877166648384,-0.38323198698966326,-0.012387207096126548,-0.08535484940362302,0.2474496437509274,-0.5931508841209199,-0.08155429880056622,0.0805531025248552,-0.08070719716327472,-0.08260629757052437,0.0364343410852898,-0.5757691660629831,-0.2422144513946811,-0.07878621485075665,-0.5344113665385739,0.00015743358927482897,0.10916425465686733,0.10942435158495582,0.3943750526890296,0.0013950894995756013,0.4376617083399172
prs_bpa,-0.06836587057042984,1.0,1.0,0.9958307358971521,0.9974507571606901,0.0011352260537660433,1.0,-0.015116069283011815,0.02858091864729163,0.034544356671885296,0.8850645772521435,0.034544356671885296,-0.009849112092973563,0.011105761829165322,0.020990303243022073,0.015995528867452136,0.7768807665370224,-0.0076187784323114615,0.023672544481045086,0.8060229100924388,-0.8042371429181919,0.8068111281233418,0.8720315995168239,0.025525008605608256,0.020617284984673058,0.008451020089710659,0.8280504466106041,0.018218703583757278,0.07182307640445926,-0.005105042379105991,-0.005457159457235676,-0.01250494548300667,-0.001924045058775825,-0.015046598736740868
prs_sp_bpa,-0.06836587057042984,1.0,1.0,0.9958307358971521,0.9974507571606901,0.0011352260537660433,1.0,-0.015116069283011815,0.02858091864729163,0.034544356671885296,0.8850645772521435,0.034544356671885296,-0.009849112092973563,0.011105761829165322,0.020990303243022073,0.015995528867452136,0.7768807665370224,-0.0076187784323114615,0.023672544481045086,0.8060229100924388,-0.8042371429181919,0.8068111281233418,0.8720315995168239,0.025525008605608256,0.020617284984673058,0.008451020089710659,0.8280504466106041,0.018218703583757278,0.07182307640445926,-0.005105042379105991,-0.005457159457235676,-0.01250494548300667,-0.001924045058775825,-0.015046598736740868
prs_thr_up,-0.06869754752147546,0.9958307358971521,0.9958307358971521,1.0,0.9983804767461584,-0.0003284121146771398,0.9958307358971523,-0.014803858554862128,0.02903997932123866,0.03588157694627974,0.8882390701580044,0.03588157694627974,-0.00909961249158205,0.011575350609363051,0.0211766022664361,0.017427764261404483,0.7769042414034848,-0.007621893545096099,0.02352045142749012,0.8043121743406408,-0.8025284031478136,0.8051017108830757,0.8703413255738739,0.0253125381350002,0.020586936234843558,0.008602356311625245,0.8250509267423134,0.017991346529576346,0.0729522155648804,-0.005340881795184564,-0.005693318172783834,-0.012446857708478323,-0.0024137371961631573,-0.014854068329791099
prs_tur_down,-0.06867790152917083,0.9974507571606901,0.9974507571606901,0.9983804767461584,1.0,4.769427353006294e-05,0.9974507571606893,-0.015534067096970043,0.029223265394340472,0.035340048389261074,0.8870451849097832,0.035340048389261074,-0.009918394495747647,0.011791840196538977,0.02161845835901865,0.016798132547261542,0.7769776404054669,-0.008054646503295742,0.02429853440019577,0.8050466228161163,-0.8032621459902245,0.8058353726069453,0.871054816258322,0.02521098010294132,0.021290752518032165,0.008526260777764475,0.826280945687191,0.018818034849616336,0.07241106944935749,-0.005176091226273138,-0.005528330639294684,-0.013019594264240797,-0.0021257145521256814,-0.01554004430465964
fup_mes,0.09464564679812959,0.0011352260537660433,0.0011352260537660433,-0.0003284121146771398,4.769427353006294e-05,1.0,0.0011352260537662287,0.16554885298880614,-0.12562854315826222,-0.11484630806824847,-0.0028919579482341445,-0.11484630806824847,0.14719757819484938,-0.029766685604069698,-0.10680340502896153,-0.007420672354915913,1.0982303643547578e-05,0.5344296100657163,-0.20212394798143385,-0.004713061796373361,0.005226922771779771,-0.005133139886829919,-0.0032207168083798906,0.018314196663072196,-0.20659707382097925,-0.09308473993258685,-0.00740408795393308,-0.21122271372982623,0.0070663160819475004,0.06031841159142287,0.060465644170408187,0.1609991801385338,0.004309768646644027,0.16415140127366723
prs_thr_up_sp,-0.06836587057042984,1.0,1.0,0.9958307358971523,0.9974507571606893,0.0011352260537662287,1.0,-0.015116069283011815,0.02858091864729163,0.034544356671885296,0.8850645772521435,0.034544356671885296,-0.009849112092973563,0.011105761829165322,0.020990303243022073,0.015995528867452136,0.7768807665370224,-0.0076187784323114615,0.023672544481045086,0.8060229100924388,-0.8042371429181919,0.8068111281233418,0.8720315995168239,0.025525008605608256,0.020617284984673058,0.008451020089710659,0.8280504466106041,0.018218703583757278,0.07182307640445926,-0.005105042379105991,-0.005457159457235676,-0.01250494548300667,-0.001924045058775825,-0.015046598736740868
soi_main1_chk_tu[1],0.4555883343401097,-0.015116069283011815,-0.015116069283011815,-0.014803858554862128,-0.015534067096970043,0.16554885298880614,-0.015116069283011815,1.0,-0.3679863693497198,-0.0010048625357136547,-0.024352731879342344,-0.0010048625357136547,0.9230758227622707,-0.35641775929260844,-0.2609976453928434,-0.007159757018214411,-0.020240649192246368,0.3672900272903277,-0.8522602144096202,-0.019049982870209082,0.019992408955652012,-0.018860803861880146,-0.014067514141120256,0.06007127487492776,-0.8529236793152475,-0.40360761877510193,-0.020969825596184006,-0.879211141921206,-0.009171027807914825,0.43224602980697935,0.4325137244038524,0.8174958511223763,0.035818634866503725,0.9398692035225082
soi_main1_chk_tu[4],-0.4614514019241353,0.02858091864729163,0.02858091864729163,0.02903997932123866,0.029223265394340472,-0.12562854315826222,0.02858091864729163,-0.3679863693497198,1.0,0.19327705268774,0.03119926949913841,0.19327705268774,-0.33397212284631417,0.5736212302260407,0.8150163909947808,-0.0008077090678454558,0.02670190436827386,-0.29334997598494794,0.6801915041347427,0.029051589327112055,-0.02915038091627476,0.028430269310074235,0.028740281947062057,-0.0438400118422831,0.6029061875965226,0.2620300045396637,0.03209167074369253,0.5768448374121291,0.005663606556650335,0.09186896847027706,0.0907035066427011,-0.3596822893324319,0.008110393948561027,-0.3651430580722901
prs_eg[0],-0.4013400590906046,0.034544356671885296,0.034544356671885296,0.03588157694627974,0.035340048389261074,-0.11484630806824847,0.034544356671885296,-0.0010048625357136547,0.19327705268774,1.0,0.03622067315722887,1.0,-0.0616612807961821,0.10958263567743351,0.1931423864116819,0.0096483368759545,0.0464838752214946,-0.22172288651887617,0.27037361336071064,0.04169994560323759,-0.04096686449277509,0.041737415017195786,0.04114301781184797,-0.007631705296177882,0.29481352253164916,0.11698218885522287,0.03474838124166625,0.2729905373742973,0.029955691252110422,0.052303249547725354,0.05202483647621489,0.08430868150872715,0.05625902635120401,0.030534725761950186
prs_cmpr_up,-0.07693256129910404,0.8850645772521435,0.8850645772521435,0.8882390701580044,0.8870451849097832,-0.0028919579482341445,0.8850645772521435,-0.024352731879342344,0.03119926949913841,0.03622067315722887,1.0,0.036220673157228205,-0.019192508289612463,0.008680667057917224,0.021669924092384153,0.022365470214761173,0.8089950237402637,-0.012696288061526081,0.032597845564826956,0.8077041159390368,-0.8066694837547297,0.8081615489398187,0.8451154853957964,0.026411490570330938,0.029547466498006932,0.013039717847720069,0.8104151476679347,0.027143836262071026,0.08239349756027672,-0.01360780568804223,-0.013791190656157736,-0.021288889066903273,-0.007243653418391771,-0.02473510269445653
prs_eg_mes[0],-0.4013400590906046,0.034544356671885296,0.034544356671885296,0.03588157694627974,0.035340048389261074,-0.11484630806824847,0.034544356671885296,-0.0010048625357136547,0.19327705268774,1.0,0.036220673157228205,1.0,-0.0616612807961821,0.10958263567743351,0.1931423864116819,0.0096483368759545,0.0464838752214946,-0.22172288651887617,0.27037361336071064,0.04169994560323759,-0.04096686449277509,0.041737415017195786,0.04114301781184797,-0.007631705296177882,0.29481352253164916,0.11698218885522287,0.03474838124166625,0.2729905373742973,0.029955691252110422,0.052303249547725354,0.05202483647621489,0.08430868150872715,0.05625902635120401,0.030534725761950186
soi_main1_chk_tu[2],0.4097680641571417,-0.009849112092973563,-0.009849112092973563,-0.00909961249158205,-0.009918394495747647,0.14719757819484938,-0.009849112092973563,0.9230758227622707,-0.33397212284631417,-0.0616612807961821,-0.019192508289612463,-0.0616612807961821,1.0,-0.36561377219136904,-0.24333420784817744,-0.006080011398768936,-0.016778315499811677,0.39984970603339975,-0.8170583953134204,-0.015109582653937225,0.015752791471686456,-0.014755535738913205,-0.009577931281493606,0.04903537070253024,-0.8313591213723899,-0.3886031245618003,-0.013961899599744835,-0.8592338710143284,-0.003889341716708741,0.41141405273342996,0.4114565319727711,0.677773968200173,0.03613060752899451,0.8265529500417638
soi_main1_chk_tu[5],-0.26466877166648384,0.011105761829165322,0.011105761829165322,0.011575350609363051,0.011791840196538977,-0.029766685604069698,0.011105761829165322,-0.35641775929260844,0.5736212302260407,0.10958263567743351,0.008680667057917224,0.10958263567743351,-0.36561377219136904,1.0,0.29610135290237233,-0.010869782026517482,0.0014433058012479692,-0.26381797812825697,0.47225536751074143,0.00489742052205932,-0.0060272935575945395,0.004632436362197978,0.00497513667030537,-0.016836676883715224,0.4164903387710436,0.1988968099033732,0.007421525859480148,0.425960083037691,0.008460050244596864,-0.0010422127730941634,-0.0019900072182464337,-0.17035758716031646,0.045244157781852166,-0.27225383401372344
soi_main1_chk_tu[3],-0.38323198698966326,0.020990303243022073,0.020990303243022073,0.0211766022664361,0.02161845835901865,-0.10680340502896153,0.020990303243022073,-0.2609976453928434,0.8150163909947808,0.1931423864116819,0.021669924092384153,0.1931423864116819,-0.24333420784817744,0.29610135290237233,1.0,-0.0027757401792394064,0.019724120716900537,-0.1937976562269826,0.5633617569240467,0.020945579802888536,-0.02035405945555765,0.020903836109037843,0.023176945781621286,-0.032536317405559526,0.4976404598957823,0.2132593487228466,0.022445232100822964,0.47067662247253733,0.006733130619863227,0.12739634832734278,0.12587786127031206,-0.27097840549727104,0.0076230149345522065,-0.2659442711313651
poil,-0.012387207096126548,0.015995528867452136,0.015995528867452136,0.017427764261404483,0.016798132547261542,-0.007420672354915913,0.015995528867452136,-0.007159757018214411,-0.0008077090678454558,0.0096483368759545,0.022365470214761173,0.0096483368759545,-0.006080011398768936,-0.010869782026517482,-0.0027757401792394064,1.0,0.02746424503009794,-0.009754354062375941,0.013182754766468617,0.020070081474139564,-0.018863313847847448,0.020875579714540245,0.02519407359503903,-0.006861240668491397,0.01873230901818373,0.0037810516842595645,0.004390518278087599,0.016397763986397553,0.0008710634268651583,-0.00893574324158407,-0.008339618401329865,-0.004864949535802944,-0.0039558516064428775,-0.0059157081904050056
