,Variance
time,135559.6247768757
pfu_l_mes,13416.53943171196
map_mes,3037.9233037497906
prs_eg[0],1576.1291078797585
prs_eg_mes[0],1576.1291078797585
egbp_mes[0],1278.076549730642
n,6.801992581812251
poil,6.63528488546106
fup,3.8385444186652515
fup_sp,3.833809169820551
fup_mes,3.8309385962926346
pfu_mes,3.783221892693417
prs_thr_up,0.28352762609762394
prs_tur_down,0.28344986184527293
prs_thr_up_sp,0.28340307727154473
prs_sp_bpa,0.28340307727154473
prs_bpa,0.28340307727154473
prs_cmpr_up,0.22567939339918866
prs_thr_down,0.20272913049410504
prs_bpa_dif,0.19156296006216914
prs_up_cmp_prot[0],0.191530228340043
prs_cmpr_down,0.19127417594851504
amp_mes,0.19025494716827596
map,0.179277970274797
soi_main1_chk_tu[0],0.00025146821949422366
soi_main1_chk_tu[1],0.00024908774369965356
soi_main1_bas,0.00022554604103132078
soi_main1_chk_tu[2],0.0002238907813879055
soi_main1,0.00021172086625462585
soi_main1_tu,0.00021152539378611738
soi_main1_chk_tu[4],0.00021106442400587
soi_main1_chk_tu[5],0.00017499272688912372
soi_main1_chk_tu[3],0.00012483092962427706
