,time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,prs_thr_up_sp,soi_main1_chk_tu[4],prs_eg[0],prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[2],soi_main1_chk_tu[5],soi_main1_chk_tu[3],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,ti_main1_tu,prs_thr_down,ti_main1_tu_[0],fup,soi_main1_tu,soi_main1,n,fup_sp
time,1.0,-0.004441722532100717,-0.004441722532100717,-0.00530791831794836,-0.00537207256836019,-0.17058948218237047,-0.004441722532100717,0.04580298202632207,-0.5337593014267343,-0.0016939914913225084,-0.5337593014267343,-0.010033513169975356,0.010124569494150885,0.05608947381130831,-0.013526992655127178,-0.004022637755126226,0.06413631285249405,-0.5616851666712349,-0.006298044850594158,0.0071653258790652305,-0.005592274903804059,-0.007770306732455495,0.03010285316953593,-0.5400956707224153,-0.24606950060290153,-0.004515911553997982,-0.532918448117351,-0.15990209960957522,0.032793766077257494,0.03271295268561634,0.019192784018085145,0.24950483185290914
prs_bpa,-0.004441722532100717,1.0,1.0,0.9954920438713714,0.9974415981384515,0.008776564833711293,1.0,-0.024900917774954328,0.014553770784068313,0.8980537980286943,0.014553770784068313,-0.0038548001512445163,0.006025633014731884,-0.022944090505675543,-0.0025737281022443046,0.8076719458966797,-0.0006717187911606151,0.018065944808822596,0.8318646953385443,-0.8297701214880377,0.8329033993308721,0.8988290784519669,-0.019539435399667772,0.018451075384926352,-0.0017746709139360582,0.8270129657518533,0.017557271964877545,0.006569058698194489,-0.019982129401323608,-0.020913085837079917,0.018274940381166383,-0.006013165650931206
prs_sp_bpa,-0.004441722532100717,1.0,1.0,0.9954920438713714,0.9974415981384515,0.008776564833711293,1.0,-0.024900917774954328,0.014553770784068313,0.8980537980286943,0.014553770784068313,-0.0038548001512445163,0.006025633014731884,-0.022944090505675543,-0.0025737281022443046,0.8076719458966797,-0.0006717187911606151,0.018065944808822596,0.8318646953385443,-0.8297701214880377,0.8329033993308721,0.8988290784519669,-0.019539435399667772,0.018451075384926352,-0.0017746709139360582,0.8270129657518533,0.017557271964877545,0.006569058698194489,-0.019982129401323608,-0.020913085837079917,0.018274940381166383,-0.006013165650931206
prs_thr_up,-0.00530791831794836,0.9954920438713714,0.9954920438713714,1.0,0.9980507038101749,0.007975659657826636,0.995492043871374,-0.024923396227245435,0.014457422241687395,0.9014086496571646,0.014457422241687395,-0.003851543040811481,0.006023698429651221,-0.022971831351325918,-0.002653327971082809,0.8076416290659724,-0.001209903741928055,0.018033450804070403,0.8300424463553119,-0.8279474682749401,0.8310804256709016,0.897019644871903,-0.01998890561051793,0.018466344701020182,-0.0017493706211297493,0.8237550889507581,0.017609923203210146,0.005671567317442837,-0.01999821920589071,-0.020929152629016488,0.0175752066730795,-0.008039084009738028
prs_tur_down,-0.00537207256836019,0.9974415981384515,0.9974415981384515,0.9980507038101749,1.0,0.008368292459492475,0.9974415981384535,-0.024878441151949843,0.014278572686769676,0.8999717785809488,0.014278572686769676,-0.0038580571120005584,0.00602756756863431,-0.022806366078122337,-0.0024871599073654216,0.8076803571200052,-0.00109987815506107,0.017845545515410073,0.8308490749790782,-0.8287544683986193,0.8318875273747429,0.8978138785232527,-0.019782631069436098,0.018249582549091276,-0.0018623166282760366,0.8251928547552718,0.017380265653779144,0.005343253267041883,-0.01996604093956042,-0.02089702040088089,0.01791319906539839,-0.007229950062781861
fup_mes,-0.17058948218237047,0.008776564833711293,0.008776564833711293,0.007975659657826636,0.008368292459492475,1.0,0.008776564833710976,-0.2375016112991803,0.4230799903675093,0.00829213747735483,0.4230799903675093,0.01972390570727099,-0.05422354210178276,-0.2643502861820909,0.009697495336426056,0.015043407374567224,0.016807552823157653,0.40383557975629214,0.015207284121358165,-0.015864868441592215,0.015349761517628008,0.01160620494951186,-0.028292220701932682,0.40678201223503385,0.18577668484103257,0.0158220637002278,0.41095232588646463,0.3039027292330806,-0.15239084172143844,-0.15015259991124696,0.020548809538177577,-0.042435273982237946
prs_thr_up_sp,-0.004441722532100717,1.0,1.0,0.995492043871374,0.9974415981384535,0.008776564833710976,1.0,-0.024900917774954328,0.014553770784068313,0.8980537980286943,0.014553770784068313,-0.0038548001512445163,0.006025633014731884,-0.022944090505675543,-0.0025737281022443046,0.8076719458966797,-0.0006717187911606151,0.018065944808822596,0.8318646953385443,-0.8297701214880377,0.8329033993308721,0.8988290784519669,-0.019539435399667772,0.018451075384926352,-0.0017746709139360582,0.8270129657518533,0.017557271964877545,0.006569058698194489,-0.019982129401323608,-0.020913085837079917,0.018274940381166383,-0.006013165650931206
soi_main1_chk_tu[4],0.04580298202632207,-0.024900917774954328,-0.024900917774954328,-0.024923396227245435,-0.024878441151949843,-0.2375016112991803,-0.024900917774954328,1.0,-0.2526938185679474,-0.02721794419807559,-0.2526938185679474,0.005076216680483432,0.12197756181637509,0.5946945490113956,0.007504679354824935,-0.03289328713136219,-0.06526007911000525,-0.30367811881218554,-0.030728342833559495,0.030812076537690573,-0.030922061369394183,-0.0319220160467902,0.022921246949098917,-0.2823516028581833,-0.162759734091003,-0.02817209516491886,-0.2952392980797972,-0.29949561889955867,0.3830109380137731,0.37485107293408265,-0.043456138194112,-0.018570843304723517
prs_eg[0],-0.5337593014267343,0.014553770784068313,0.014553770784068313,0.014457422241687395,0.014278572686769676,0.4230799903675093,0.014553770784068313,-0.2526938185679474,1.0,0.010808509215058559,1.0,0.03204725373911308,-0.02754322396697583,-0.3341098860871694,0.014229183916522599,0.02466073794454109,-0.03101663427970001,0.9191295906004423,0.022835894747598028,-0.02343346581858312,0.02296583671566063,0.020763304477473533,-0.028655533721285414,0.9239400760423064,0.431366025193892,0.016365077697069765,0.9252806432776625,0.43554620769990604,-0.18418156608283495,-0.18367055450877154,-0.003973807124429822,-0.2184640067992062
prs_cmpr_up,-0.0016939914913225084,0.8980537980286943,0.8980537980286943,0.9014086496571646,0.8999717785809488,0.00829213747735483,0.8980537980286943,-0.02721794419807559,0.010808509215058559,1.0,0.01080850921505893,-0.0076074065725900445,-0.001527506545266815,-0.029408202201328823,-0.0034265340649946687,0.8223091465884337,-0.0018898405129978645,0.014914179670941953,0.8286087393222135,-0.8275631256244027,0.8291074727985043,0.8645387685999629,-0.016879694462962443,0.015171897816011234,-0.0031717207144400946,0.8218066680054035,0.01422016383590187,0.0020091338844261558,-0.02526830951327696,-0.025942604244730914,0.019147017425934287,-0.00575639488005337
