,Data Type,Count,Missing,Unique,Mean,Median,Std,Variance,Min,25%,75%,Max
time,float64,16877,0,16877,632.802768171209,632.7918251485773,365.33013424389287,133466.1069866608,0.0908059471860838,316.4512324159226,949.155060873278,1265.525616928253
prs_bpa,float64,16877,0,4,981.3939962877913,980.9972381170368,0.5315664439353925,0.2825628843181189,979.8363927672236,980.9972381170368,982.0751659418632,983.1530937666896
prs_sp_bpa,float64,16877,0,4,981.3939962877913,980.9972381170368,0.5315664439353925,0.2825628843181189,979.8363927672236,980.9972381170368,982.0751659418632,983.1530937666896
prs_thr_up,float64,16877,0,4,981.3939324181565,980.9972381170368,0.5315493522755973,0.28254471390460706,979.8363927672236,980.9972381170368,982.0751659418632,983.1530937666896
prs_tur_down,float64,16877,0,4,981.394060157426,980.9972381170368,0.5315835273712747,0.2825810465724867,979.8363927672236,980.9972381170368,982.0751659418632,983.1530937666896
fup_mes,float64,16877,0,229,8.040694162560348,8.026123045181963,0.2056159399434673,0.04227791475883556,7.263183592217898,7.897949217084,8.172607420151063,8.996582029352254
prs_thr_up_sp,float64,16877,0,4,981.3939962877913,980.9972381170368,0.5315664439353925,0.2825628843181189,979.8363927672236,980.9972381170368,982.0751659418632,983.1530937666896
soi_main1_chk_tu[4],float64,16877,0,590,2.6009641873212463,2.601562500000014,0.0033165764138424845,1.0999679108856275e-05,2.578125000000014,2.601562500000014,2.601562500000014,2.601562500000014
prs_eg[0],float64,16877,0,16533,2358.2198996562743,2354.884415340479,11.837700286635332,140.13114807620624,2328.862799865268,2348.976542020458,2368.491207613056,2389.539251419001
prs_cmpr_up,float64,16877,0,5584,981.3872342940467,981.1730338684304,0.4759010408269828,0.22648180066020557,979.8363927672236,980.9972381170368,981.897109190656,983.1530937666896
prs_eg_mes[0],float64,16877,0,16533,2358.2198996562743,2354.884415340479,11.837700286635332,140.13114807620624,2328.862799865268,2348.976542020458,2368.491207613056,2389.539251419001
soi_main1_chk_tu[2],float64,16877,0,20,2.6015763943721564,2.601562500000014,0.0004938132135999051,2.4385148992586546e-07,2.601562500000014,2.601562500000014,2.601562500000014,2.625000000000014
soi_main1_chk_tu[5],float64,16877,0,4,2.601555567389792,2.601562500000014,0.0003914111628824803,1.532026984290155e-07,2.578125000000014,2.601562500000014,2.601562500000014,2.601562500000014
soi_main1_chk_tu[3],float64,16877,0,714,2.600600079416595,2.601562500000014,0.004290034549791619,1.8404396438405783e-05,2.578125000000014,2.601562500000014,2.601562500000014,2.601562500000014
poil,float64,16877,0,13510,6848.201398486729,6849.153398947128,2.5547357113364315,6.526674554777662,6838.511670856842,6845.163789516312,6849.956067320488,6856.753982019359
map,float64,16877,0,5583,981.3894380336911,981.5308802689586,0.42897862773368123,0.18402266305227227,979.8363927672236,980.9972381170368,981.5407268866674,982.6169780653712
pfu_mes,float64,16877,0,16826,8.099658619090498,8.099952978569846,0.12385597339135855,0.015340302144720916,7.626325478469768,8.016019978316402,8.184114935693172,8.550436449463565
egbp_mes[0],float64,16877,0,16503,2338.3627585563977,2327.328773975149,30.532476225046445,932.2321044330263,2280.726945365021,2321.851352250855,2360.99625558801,2399.13483677107
prs_up_cmp_prot[0],float64,16877,0,5583,981.386519378699,981.3532797948402,0.44059887663772257,0.19412737009442307,979.8363927672236,980.9972381170368,981.7174259535278,982.7915642035488
prs_bpa_dif,float64,16877,0,5583,-7.519997008847083,-7.486922917358227,0.4405310526159191,0.19406760831888972,-8.925233235360231,-7.851052846199179,-7.130907148848442,-5.970061799035364
prs_cmpr_down,float64,16877,0,5583,981.3860722516985,981.3532231285194,0.4404473547305892,0.1939938722891735,979.8363927672236,980.9972381170368,981.7173942785022,982.7915642035488
amp_mes,float64,16877,0,5584,981.394032015345,981.354571079239,0.44266324551747477,0.19595074893206413,979.8363927672236,980.9972381170368,981.7174352122136,983.1530937666896
pfu_l_mes,float64,16877,0,12437,4588.265419674093,4592.252493567883,95.00520610056206,9025.989186210276,4339.435583274222,4517.364866522904,4653.663172350653,4869.31395464067
map_mes,float64,16877,0,14619,1652.7963160184677,1644.260728758969,22.17394018534397,491.6836233432121,1616.560067139696,1640.219228914246,1667.471427481499,1697.569435103549
ti_main1_tu,float64,16877,0,3451,1.2304669841905982,1.2,0.1490593066648793,0.02221867690341453,0.8009749081794699,1.2,1.2,1.998050923830089
prs_thr_down,float64,16877,0,7374,981.3893317455681,981.2063266721882,0.4405973654231017,0.1941260384177782,979.8453325417051,980.9972381170368,981.8320437895504,983.1055162197353
ti_main1_tu_[0],float64,16877,0,11,1.3675261333978441,1.2,0.3864847420195035,0.1493704558138822,0.8,1.2,1.6,2.0
fup,float64,16877,0,16346,8.046110348425724,8.038520320512768,0.05362375656810963,0.0028755072684758807,7.864179705863981,8.009549541515197,8.073475866081758,8.462068147226423
soi_main1_tu,float64,16877,0,291,2.6013161842471173,2.601562500000014,0.0019160923042495738,3.6714097184044413e-06,2.578125000000014,2.601562500000014,2.601562500000014,2.62160801430739
soi_main1,float64,16877,0,290,2.601317921047635,2.601562500000014,0.0019091254198568973,3.644759868743774e-06,2.578125000000014,2.601562500000014,2.601562500000014,2.62160801430739
n,float64,16877,0,14543,1599.916575088207,1600.0,2.3168006282769906,5.367565151184659,1590.868348337312,1598.65338909095,1601.199569695319,1611.226252686751
fup_sp,float64,16877,0,6516,8.01551322427942,7.998657224875257,0.026013696054488545,0.0006767123824153128,7.998657224875257,7.998657224875257,8.029554094964448,8.208704341712
