,Variance
time,133939.01968099663
pfu_l_mes,2715.8868930666645
egbp_mes[0],792.0875867900332
prs_thr_up,355.009665186641
prs_sp_bpa,354.772975574633
prs_bpa,354.772975574633
prs_thr_up_sp,354.772975574633
prs_thr_down,344.554074696069
prs_bpa_dif,342.61505551890684
map,341.8700992078045
map_mes,341.35759167792736
prs_cmpr_down,341.17141571200153
prs_eg_mes[0],158.99156835528365
prs_eg[0],158.99156835528365
n,27.978035875352507
poil,6.222007373236401
prs_tur_down,0.289723456258167
prs_cmpr_up,0.21390057493580394
prs_up_cmp_prot[0],0.1684240524345127
amp_mes,0.16737807153373857
ti_main1_tu_tmp,0.1593258819212544
ti_main1_tu_[0],0.1592828683645318
fup_mes,0.1490962013796361
pfu_mes,0.1360706851137717
ti_main1_tu,0.028892571379389626
fup,0.009207601861803338
soi_main1_chk_tu[2],0.0031264149349523682
fup_sp,0.0014886408708516432
soi_main1_chk_tu[4],0.0009441916893002273
soi_main1_chk_tu[5],0.000880169212825917
soi_main1_tu,0.0007868076298796704
soi_main1,0.0007833494945298161
soi_main1_chk_tu[1],0.0006017294715603127
soi_main1_bas,0.0005452428135889148
soi_main1_chk_tu[3],0.0004987418776391145
soi_main1_chk_tu[0],0.0004909223296496563
