,Data Type,Count,Missing,Unique,Mean,Median,Std,Variance,Min,25%,75%,Max
soi_main1_chk_tu[5],float64,10569,0,2717,0.646676195186114,0.6328125000000142,0.02966764589289007,0.000880169212825917,0.6093750000000142,0.6328125000000142,0.6796875000000142,0.7656201037513792
soi_main1_chk_tu[3],float64,10569,0,2375,0.6457391482750597,0.6328125000000142,0.022332529584422688,0.0004987418776391145,0.6093750000000142,0.6328125000000142,0.6718071448870298,0.7226554675973083
poil,float64,10569,0,8730,6848.320667744715,6849.153398947128,2.4943951918724507,6.222007373236401,6839.174721791364,6845.16348177944,6849.954888948003,6855.925122535195
map,float64,10569,0,8235,1241.8886826693856,1236.508030901248,18.489729560158647,341.8700992078045,1211.010452429999,1228.96129954439,1259.93281122792,1272.910033587827
pfu_mes,float64,10569,0,10548,5.749641838755703,5.75440414702843,0.3688776018054928,0.1360706851137717,4.641131518743766,5.467492340518425,6.035314976408092,6.736051983881837
egbp_mes[0],float64,10569,0,10498,1455.1200582688043,1451.608798646535,28.14405064645161,792.0875867900332,1397.538118157762,1438.065395679367,1479.843370815274,1512.22575392206
prs_up_cmp_prot[0],float64,10569,0,4932,981.4806703403923,981.3585458020618,0.4103949956255713,0.1684240524345127,980.2209142813484,980.9972381170368,981.7175417302964,982.0751659418632
prs_bpa_dif,float64,10569,0,8305,-258.79973824484944,-253.5602706042856,18.509863735827633,342.61505551890684,-292.6139415580994,-276.6957884920995,-245.7125509168447,-227.6915236133331
prs_cmpr_down,float64,10569,0,8253,1241.9236084109511,1236.579652417778,18.470826070103133,341.17141571200153,1211.010452429999,1228.948320179288,1259.932190550303,1275.602838966726
amp_mes,float64,10569,0,5028,981.4897543391177,981.358880807189,0.4091186521459741,0.16737807153373857,980.2209142813484,980.9972381170368,981.7177855655632,982.7927814678994
pfu_l_mes,float64,10569,0,10346,3855.318225011362,3857.850375712641,52.11417171045381,2715.8868930666645,3683.641825401173,3817.541251510991,3892.198086441537,4052.095593150562
map_mes,float64,10569,0,8170,1242.1573155520073,1237.793326792881,18.475865113112494,341.35759167792736,1212.557728859545,1228.588818639123,1259.488140793062,1274.6089271564
ti_main1_tu,float64,10569,0,1208,1.2272332220280373,1.2,0.16997814971163094,0.028892571379389626,0.8,1.2,1.2,1.998038685849483
prs_thr_down,float64,10569,0,10530,1244.4158091771424,1239.892915259909,18.562167833959183,344.554074696069,1212.363345835968,1230.814035041818,1261.820887768982,1277.618710385229
ti_main1_tu_[0],float64,10569,0,9,1.3528278735214334,1.2,0.39910257874953875,0.1592828683645318,0.8,1.2,1.6,2.0
fup,float64,10569,0,10462,5.5281241894425985,5.529775318433065,0.09595624972769276,0.009207601861803338,5.149662738693895,5.459082330939866,5.597796896936166,5.828540891512055
soi_main1_tu,float64,10569,0,6229,0.6513451874638737,0.6365128119010804,0.028050091441556308,0.0007868076298796704,0.6093750000000142,0.6328125000000142,0.6721052494054011,0.7732240481711654
soi_main1,float64,10569,0,6220,0.6513213230423103,0.6366015494401072,0.027988381420328973,0.0007833494945298161,0.6093750000000142,0.6328125000000142,0.6720759619560296,0.7732240481711654
soi_main1_chk_tu[0],float64,10569,0,2668,0.6471659981384951,0.6328125000000142,0.02215676712992345,0.0004909223296496563,0.6093750000000142,0.6328125000000142,0.6703759755222894,0.7261952410177134
n,float64,10569,0,10047,1000.0120937297846,999.730968672673,5.289426800264137,27.978035875352507,982.3570899501756,996.626555430102,1003.494102679623,1017.891505655035
soi_main1_bas,float64,10569,0,5207,0.6471126938426416,0.6328125000000142,0.023350434976439193,0.0005452428135889148,0.6093750000000142,0.6328125000000142,0.6657665929253263,0.7660507492574309
fup_sp,float64,10569,0,1530,5.523970050659765,5.49926757696498,0.038582909051180204,0.0014886408708516432,5.49926757696498,5.49926757696498,5.543296796943913,5.691386033021029
