,Variance
time,133054.6173551133
prs_eg[0],6193.328492299956
prs_eg_mes[0],6193.328492299956
map_mes,6054.561246220097
prs_thr_down,6052.175940340095
prs_thr_up,6050.2760437560255
prs_thr_up_sp,6049.828714585053
prs_sp_bpa,6049.828714585053
prs_bpa,6049.828714585053
prs_bpa_dif,6036.887659838056
prs_cmpr_down,6034.132456314341
map,6034.014520639707
egbp_mes[0],5968.813326854626
pfu_l_mes,4620.79178313396
n,8.821946497710075
poil,6.226365689816952
fup_mes,4.418309792587962
pfu_mes,4.358341414770571
fup,4.07663656320246
fup_sp,4.066719658767006
prs_tur_down,0.08850271281266073
prs_cmpr_up,0.0649709373498131
amp_mes,0.05297163691847015
prs_up_cmp_prot[0],0.05229563667703117
soi_main1_chk_tu[2],0.00044841951025026384
soi_main1_chk_tu[5],0.0003946962134716115
soi_main1_chk_tu[0],0.00036333273535694104
soi_main1_bas,0.00034899817080479565
soi_main1_chk_tu[4],0.00034140209608202855
soi_main1_chk_tu[1],0.00031416771748770707
soi_main1_tu,0.00027608479918713634
soi_main1,0.00027607855590262907
soi_main1_chk_tu[3],0.0002740613004812939
