,Data Type,Count,Missing,Unique,Mean,Median,Std,Variance,Min,25%,75%,Max
time,float64,10527,0,10527,631.8112464326462,631.7858864761547,364.76652444421666,133054.6173551133,0.1203810985489326,315.97102604871316,947.6750259953424,1263.509709669548
prs_bpa,float64,10527,0,829,1275.4403782260295,1250.147524223697,77.78064485837754,6049.828714585053,1156.201968413825,1227.759792477302,1335.220904859999,1419.216357671473
prs_thr_up,float64,10527,0,820,1275.3454172987722,1249.898771648737,77.78352038675047,6050.2760437560255,1156.201968413825,1227.759792477302,1335.220904859999,1419.216357671473
fup_mes,float64,10527,0,1133,6.666287942318872,5.908203123753719,2.10197759088625,4.418309792587962,3.009033202490272,5.218505858274204,8.337402341991302,11.24267577887846
prs_sp_bpa,float64,10527,0,829,1275.4403782260295,1250.147524223697,77.78064485837754,6049.828714585053,1156.201968413825,1227.759792477302,1335.220904859999,1419.216357671473
prs_thr_up_sp,float64,10527,0,829,1275.4403782260295,1250.147524223697,77.78064485837754,6049.828714585053,1156.201968413825,1227.759792477302,1335.220904859999,1419.216357671473
prs_tur_down,float64,10527,0,3,980.9824300096011,980.9972381170368,0.29749405508793064,0.08850271281266073,979.8363927672236,980.9972381170368,980.9972381170368,982.0751659418632
soi_main1_chk_tu[5],float64,10527,0,2090,0.6442004638348617,0.6328125000000142,0.019866962864806777,0.0003946962134716115,0.5859375000000142,0.6328125000000142,0.6406543475879389,0.8554150418503195
soi_main1_chk_tu[1],float64,10527,0,1985,0.6410337655781524,0.6328125000000142,0.017724776937600852,0.00031416771748770707,0.5430589913713453,0.6328125000000142,0.6405260135967681,0.8164099277461117
soi_main1_chk_tu[2],float64,10527,0,2158,0.6463804005505914,0.6328125000000142,0.02117591816782129,0.00044841951025026384,0.5859375000000142,0.6328125000000142,0.6718830746905762,0.8671875000000142
prs_eg_mes[0],float64,10527,0,10482,1502.3819233955028,1477.173604467219,78.6977032212501,6193.328492299956,1365.963839501961,1456.5529276489215,1566.2201026992739,1649.920500399694
prs_eg[0],float64,10527,0,10482,1502.3819233955028,1477.173604467219,78.6977032212501,6193.328492299956,1365.963839501961,1456.5529276489215,1566.2201026992739,1649.920500399694
poil,float64,10527,0,8904,6848.129424301155,6849.016792291482,2.4952686608493586,6.226365689816952,6839.172920841264,6845.145887928915,6849.844998157214,6855.925540740354
soi_main1_chk_tu[3],float64,10527,0,1785,0.6393611456094312,0.6328125000000142,0.01655479690244776,0.0002740613004812939,0.5859375000000142,0.6328125000000142,0.6328125000000142,0.8867224277461117
prs_cmpr_up,float64,10527,0,1418,980.9836891392456,980.9972381170368,0.2548939727608582,0.0649709373498131,979.8363927672236,980.9972381170368,980.9972381170368,982.0751659418632
soi_main1_chk_tu[4],float64,10527,0,1969,0.6418632452628742,0.6328125000000142,0.01847706946682911,0.00034140209608202855,0.6093750000000142,0.6328125000000142,0.6406136418982886,0.8749283891337545
map,float64,10527,0,8808,1274.2351436361507,1248.695934841899,77.67891940957796,6034.014520639707,1157.359051097509,1227.262287327382,1333.6254439892975,1417.391448055897
prs_cmpr_down,float64,10527,0,8839,1274.2721455870426,1248.737510252495,77.67967852864957,6034.132456314341,1156.894335746633,1227.262287327382,1333.7000196132576,1419.909363439617
egbp_mes[0],float64,10527,0,10477,1490.7708676324191,1465.981662063563,77.25809554250368,5968.813326854626,1357.852461642017,1445.803168573902,1554.423369604645,1636.296264324061
prs_bpa_dif,float64,10527,0,8908,-304.59768421643344,-279.2662241550284,77.697410895332,6036.887659838056,-451.5668234819177,-363.93168137310977,-257.3759975585533,-187.008045977804
pfu_l_mes,float64,10527,0,10261,3833.7685928199107,3844.780032071012,67.9764060769173,4620.79178313396,3536.277708857357,3796.986317824352,3878.575105895357,4074.002647535165
map_mes,float64,10527,0,8877,1277.2158835279877,1250.643986145776,77.81106120738939,6054.561246220097,1158.302029558026,1230.4958681800736,1336.713420309758,1421.097966735701
pfu_mes,float64,10527,0,10518,6.684264686340268,5.904263185308191,2.087664104871895,4.358341414770571,3.330480645155848,5.287647560520941,8.345767614831331,11.06627639575261
prs_up_cmp_prot[0],float64,10527,0,1437,980.9847944549376,980.9972381170368,0.22868239258200698,0.05229563667703117,979.8363927672236,980.9972381170368,980.9972381170368,982.0751659418632
amp_mes,float64,10527,0,1451,980.9849800235698,980.9972381170368,0.2301556797441031,0.05297163691847015,979.8363927672236,980.9972381170368,980.9972381170368,982.0751659418632
fup,float64,10527,0,10469,6.514463146825525,5.573639580291426,2.0190682413436303,4.07663656320246,3.745601855627032,5.422666604198408,8.032183857978541,10.37096352432209
n,float64,10527,0,9709,999.3554320769737,999.233363395908,2.970176172840607,8.821946497710075,960.0384165521292,997.2165407151642,1001.5242804477066,1027.0
soi_main1,float64,10527,0,3839,0.6425041149965651,0.6328125000000142,0.016615611812468088,0.00027607855590262907,0.5625000000000142,0.6328125000000142,0.6505563228600675,0.8203125000000142
prs_thr_down,float64,10527,0,10481,1276.9511748842253,1251.477778815803,77.7957321473363,6052.175940340095,1156.813385485192,1229.467205113486,1336.84177657748,1421.088569093559
soi_main1_tu,float64,10527,0,3857,0.6425312404308887,0.6328125000000142,0.016615799685454093,0.00027608479918713634,0.5625000000000142,0.6328125000000142,0.6507077577790198,0.8203125000000142
soi_main1_chk_tu[0],float64,10527,0,2210,0.6430054726002364,0.6328125000000142,0.01906128892171096,0.00036333273535694104,0.5625000000000142,0.6328125000000142,0.6483319929392521,0.8203125000000142
soi_main1_bas,float64,10527,0,2717,0.6436059787913829,0.6328125000000142,0.018681492734918044,0.00034899817080479565,0.5681727109022049,0.6328125000000142,0.6517965224986293,0.8322168254431863
fup_sp,float64,10527,0,625,6.514735283598086,5.52368163945983,2.0166109339104077,4.066719658767006,4.000854491343556,5.49926757696498,7.998657224875257,10.00061034945296
