,Data Type,Count,Missing,Unique,Mean,Median,Std,Variance,Min,25%,75%,Max
time,float64,5544,0,5544,277.190575118411,277.18595605438304,160.04961381683472,25615.878882917932,0.0697361378593086,138.62809530059667,415.7357014652289,556.3180741813262
prs_tur_down,float64,5544,0,3,983.5674271351429,983.1530937666896,0.5252022589391434,0.275837412794779,982.0751659418632,983.1530937666896,984.231021591516,984.231021591516
ti_main1_tu_tmp,float64,5544,0,2,1.196320346320346,1.2,0.06635389006841882,0.004402838727211811,0.0,1.2,1.2,1.2
prs_thr_up_sp,float64,5544,0,3,983.5672327037172,983.1530937666896,0.5251560739935667,0.2757889020523365,982.0751659418632,983.1530937666896,984.231021591516,984.231021591516
prs_sp_bpa,float64,5544,0,3,983.5672327037172,983.1530937666896,0.5251560739935667,0.2757889020523365,982.0751659418632,983.1530937666896,984.231021591516,984.231021591516
prs_bpa,float64,5544,0,3,983.5672327037172,983.1530937666896,0.5251560739935667,0.2757889020523365,982.0751659418632,983.1530937666896,984.231021591516,984.231021591516
prs_thr_up,float64,5544,0,3,983.567427135143,983.1530937666896,0.5252022589391434,0.275837412794779,982.0751659418632,983.1530937666896,984.231021591516,984.231021591516
fup_mes,float64,5544,0,262,7.929238542037379,8.001708982687113,0.6494383666960917,0.42177019213688727,0.0,7.781982420233462,8.197021482645914,8.673095701295491
soi_main1_chk_tu[4],float64,5544,0,1873,1.9191820116850888,1.921875000000014,0.07200886688938102,0.005185276910692594,0.5156250000000142,1.921875000000014,1.9257871453740985,1.945312500000014
prs_eg[0],float64,5544,0,5471,1876.3269936984038,1881.756505644685,64.14664348367106,4114.791870221199,985.0601968413824,1877.9205031285705,1885.5562197452848,1895.908898519516
soi_main1_chk_tu[3],float64,5544,0,1865,1.916269337502077,1.921875000000014,0.07132721037622738,0.0050875709400546,0.5235150499415582,1.921875000000014,1.921875000000014,1.945312500000014
soi_main1_chk_tu[2],float64,5544,0,2346,1.9255164002966219,1.9258030479790595,0.07184741159377601,0.0051620505527254605,0.5196240741028477,1.921875000000014,1.9414576265909869,1.984397147935407
soi_main1_chk_tu[5],float64,5544,0,1782,1.9172327043583528,1.921875000000014,0.07193738486566909,0.0051749873413113965,0.5156250000000142,1.921875000000014,1.921875000000014,1.945312500000014
poil,float64,5544,0,4550,6848.312851549961,6849.153398947128,2.4601493488607464,6.052334818699955,6838.340245837702,6845.256373763645,6849.954876825941,6856.615813587386
prs_cmpr_up,float64,5544,0,2503,983.566842198388,983.3333552072802,0.4501383926032441,0.20262457249543234,982.4215148945876,983.1530937666896,984.0512420625623,984.231021591516
prs_eg_mes[0],float64,5544,0,5471,1876.3269936984038,1881.756505644685,64.14664348367106,4114.791870221199,985.0601968413824,1877.9205031285705,1885.5562197452848,1895.908898519516
soi_main1_chk_tu[1],float64,5544,0,1937,1.922100478351365,1.921875000000014,0.07205529363917623,0.005191965341427912,0.5235328481024846,1.921875000000014,1.941300776206709,1.999515971713504
