,Variance
pfu_l_mes,46090.786518669796
time,25615.878882917932
n,5478.995719086013
prs_eg[0],4114.791870221199
prs_eg_mes[0],4114.791870221199
egbp_mes[0],3966.0844832431185
map_mes,1049.092343704501
poil,6.052334818699955
fup_mes,0.42177019213688727
pfu_mes,0.40975165385235335
fup,0.34669274243054105
prs_bpa_dif,0.2982055089672605
prs_tur_down,0.275837412794779
prs_thr_up,0.275837412794779
prs_sp_bpa,0.2757889020523365
prs_thr_up_sp,0.2757889020523365
prs_bpa,0.2757889020523365
fup_sp,0.22578278136577778
prs_cmpr_up,0.20262457249543234
prs_thr_down,0.1842269964900727
amp_mes,0.15908372241283986
prs_up_cmp_prot[0],0.15903674607021787
prs_cmpr_down,0.15889119810822167
map,0.1443114770520921
soi_main1,0.015086469640481487
soi_main1_tu,0.015085779077391444
soi_main1_chk_tu[1],0.005191965341427912
soi_main1_chk_tu[4],0.005185276910692594
soi_main1_bas,0.005176498050908833
soi_main1_chk_tu[5],0.0051749873413113965
soi_main1_chk_tu[2],0.0051620505527254605
soi_main1_chk_tu[0],0.005146339871854612
soi_main1_chk_tu[3],0.0050875709400546
ti_main1_tu_tmp,0.004402838727211811
ti_main1_bas,0.004389570191573658
ti_main1_tu,0.004222644957457366
