,Variance
time,30475.200537397235
pfu_l_mes,9101.517649914918
prs_eg_mes[0],18.568456367642444
prs_eg[0],18.568456367642444
egbp_mes[0],15.24624105493257
poil,6.295348348067377
n,4.239995203988305
map_mes,2.8675206954108536
prs_thr_up,0.12276134232898683
prs_tur_down,0.12262099150105825
prs_sp_bpa,0.12248059399066571
prs_bpa,0.12248059399066571
prs_thr_up_sp,0.12248059399066571
prs_cmpr_up,0.09512667449372295
prs_thr_down,0.08480262897473798
prs_cmpr_down,0.08107107298400479
prs_up_cmp_prot[0],0.08093203109048487
prs_bpa_dif,0.08074182562322268
amp_mes,0.07890327964142275
map,0.07504618036533896
fup_mes,0.04329772250944578
pfu_mes,0.021388942005094464
fup,0.0017153209111092302
soi_main1_chk_tu[0],0.00015845121907604148
soi_main1_chk_tu[1],0.0001412855715719789
soi_main1_bas,0.00013751648345909715
soi_main1_tu,0.00011342494297537391
soi_main1,0.00011295997565236618
soi_main1_chk_tu[4],0.00010827546681268034
soi_main1_chk_tu[2],0.0001071216489427629
soi_main1_chk_tu[5],8.530941085164499e-05
soi_main1_chk_tu[3],3.162519816451573e-05
