,Variance
time,133261.3060213463
pfu_l_mes,5510.805949935622
prs_eg[0],344.80734994423597
prs_eg_mes[0],344.80734994423597
egbp_mes[0],313.9903093425115
map_mes,220.59300823228156
prs_bpa_dif,217.8745000311905
prs_cmpr_down,217.0581711853572
map,217.0136236481982
prs_thr_down,216.83774606245277
prs_bpa,215.32182078533623
prs_thr_up_sp,215.32182078533623
prs_sp_bpa,215.32182078533623
prs_thr_up,214.87073112787942
soi_main1_chk_tu[4],46.58389343051176
soi_main1_chk_tu[5],46.583726609528796
soi_main1_chk_tu[1],46.576063627301316
soi_main1_tu,46.57547603578727
soi_main1_chk_tu[2],46.57398465324067
soi_main1_chk_tu[3],46.570218930973034
soi_main1_chk_tu[0],46.569018936830666
n,12.750723949857004
poil,6.47910389676757
prs_tur_down,0.27513006438765575
prs_cmpr_up,0.20552435444526293
fup_mes,0.1833560702862865
amp_mes,0.1646226660856635
prs_up_cmp_prot[0],0.16356232110051694
pfu_mes,0.15723228177146806
fup,0.009516068296220037
fup_sp,0.0009576357218431075
soi_main1_bas,0.00048021716931669853
soi_main1,0.0003664812753840744
