,time,prs_thr_up_sp,prs_tur_down,fup_mes,prs_bpa,prs_thr_up,prs_sp_bpa,prs_eg[0],soi_main1_chk_tu[1],soi_main1_chk_tu[4],soi_main1_chk_tu[3],prs_eg_mes[0],soi_main1_chk_tu[2],poil,prs_cmpr_up,soi_main1_chk_tu[5],map,prs_up_cmp_prot[0],prs_bpa_dif,pfu_mes,egbp_mes[0],pfu_l_mes,prs_cmpr_down,amp_mes,map_mes,soi_main1_tu,prs_thr_down,n,soi_main1_chk_tu[0],fup,fup_sp
soi_main1_chk_tu[3],-0.5441399465098007,-0.04248867958428718,-0.041692853997778535,-0.03531462308355,-0.04248867958428718,-0.0410853253810763,-0.04248867958428718,0.9646884500170237,0.9998358405486397,0.9999999991185569,1.0,0.9646884500170236,0.9998358410613994,0.006013418060540839,-0.048779906687181206,0.9999186743330223,-0.051678753123421045,-0.04994310184028384,0.050639289178322104,-0.10133251249296606,0.9614206811885119,0.028071605475953103,-0.05004993829448717,-0.05097495373969435,0.9840784631469718,0.9997860759286905,-0.049582118194711144,-0.062213977661058587,0.9999324745656747,-0.045578422101068786,-0.08698855825157632
prs_eg_mes[0],-0.4634803444734071,-0.036873356562931676,-0.03622514366102148,-0.009051570354064899,-0.036873356562931676,-0.03551574714518241,-0.036873356562931676,1.0,0.9644838570883582,0.9646890733437263,0.9646884500170236,1.0,0.9644835234086885,0.003933837471598882,-0.04347092988892561,0.9645917372334587,-0.047629804810479695,-0.04660532336634499,0.04729348115051443,-0.09425817585568885,0.9615358137631013,0.020024036675994377,-0.04666027234976458,-0.04364047435716537,0.964808650846865,0.9644020683183188,-0.044274988003842,-0.018118615656098222,0.9646359480618929,-0.009239707648249952,-0.013212756870474728
soi_main1_chk_tu[2],-0.5439528043792334,-0.04253466174307975,-0.041738745963473906,-0.03507860156153347,-0.04253466174307975,-0.04113113746533424,-0.04253466174307975,0.9644835234086885,0.9999999996307362,0.9998358408308422,0.9998358410613994,0.9644835234086885,1.0,0.005911067771452657,-0.0489087266481555,0.9999171675482998,-0.05179381940277752,-0.05003600727587259,0.05073227121224583,-0.10159280835559961,0.9612376775574444,0.028229878005122416,-0.050142814092282356,-0.05106729582036698,0.9838252374627149,0.9999524151341405,-0.04955023595837576,-0.06251276296923707,0.9998347841551006,-0.04599473876087102,-0.08699456600814111
poil,0.006726007409962264,-0.016392710565524767,-0.01657809788445246,0.0025840934549431036,-0.016392710565524767,-0.01660241277438639,-0.016392710565524767,0.003933837471598882,0.005910753145398656,0.006012738007246812,0.006013418060540839,0.003933837471598882,0.005911067771452657,1.0,-0.016170640318439577,0.006088633969410673,-0.01687818679429925,-0.022757009673104834,0.022926343588447383,0.00025615684617801666,0.006067779526919663,-0.039406820524911845,-0.022800723341301836,-0.017021614671943724,0.003651775520693361,0.0059502816236483395,-0.029439165753723417,-0.007592068505051353,0.006004707668290536,0.026509243805372625,-0.003464821525917929
prs_cmpr_up,0.12601779538072835,0.8977707171764201,0.8996829774229601,-0.0011127494274309128,0.8977707171764201,0.9010332473105063,0.8977707171764201,-0.04347092988892561,-0.048908828407321275,-0.04878011111111124,-0.048779906687181206,-0.04347092988892561,-0.0489087266481555,-0.016170640318439577,1.0,-0.04882262010241023,0.817211203618994,0.8228489843548789,-0.8216656303321404,0.006143282350680111,-0.043215928885917305,-0.03362216592538179,0.8232191312125712,0.8589787775921723,-0.04275043368541685,-0.04896357411197009,0.8132558417897273,0.010635360394129866,-0.04892609566550149,0.005349438618685569,-0.007110515322709208
soi_main1_chk_tu[5],-0.5440286974648222,-0.04252704597811969,-0.04173115730446383,-0.03523810895880229,-0.04252704597811969,-0.04112354037516152,-0.04252704597811969,0.9645917372334587,0.999917167890748,0.999918675049427,0.9999186743330223,0.9645917372334587,0.9999171675482998,0.006088633969410673,-0.04882262010241023,1.0,-0.05172538606106055,-0.04998845213645994,0.05068468394008071,-0.10146286381920279,0.9613578291710104,0.028126835699151684,-0.05009535608299201,-0.05102111003487945,0.9839750589235337,0.9998987096885671,-0.04962802910171373,-0.062495839314375294,0.9998922271387433,-0.04571793740923753,-0.08706740954389358
map,0.13549853027495873,0.8045024503859696,0.8044322600096864,-0.004857268724936224,0.8045024503859696,0.80413701018634,0.8045024503859696,-0.047629804810479695,-0.05179393011376573,-0.05167897554942745,-0.051678753123421045,-0.047629804810479695,-0.05179381940277752,-0.01687818679429925,0.817211203618994,-0.05172538606106055,1.0,0.9247940136951454,-0.9194928166093934,0.007904095857874171,-0.047578659801144285,-0.0421474655093045,0.9263475781014607,0.9137233308918284,-0.04648237955864187,-0.051867983127235104,0.751883197342052,0.012122649747667635,-0.051807879504157724,0.016491583338410883,0.00830868314129893
prs_up_cmp_prot[0],0.12753480940178077,0.8296910504802538,0.8285847287439739,-0.001420504829448842,0.8296910504802538,0.8275295353828777,0.8296910504802538,-0.04660532336634499,-0.050036114859684164,-0.04994331799774331,-0.04994310184028384,-0.04660532336634499,-0.05003600727587259,-0.022757009673104834,0.8228489843548789,-0.04998845213645994,0.9247940136951454,1.0,-0.9957060839834212,0.008689623491895873,-0.0471829931032445,-0.046468743652187644,0.9988383939153141,0.8707964402690441,-0.045419764104428224,-0.050120898901232364,0.8756100433880585,0.014756406704587393,-0.05006245051837963,0.0133418435114506,0.004491972073060927
prs_bpa_dif,-0.12896519160833536,-0.8275900269055146,-0.8264833761097304,0.0011718883662393401,-0.8275900269055146,-0.8254268965930776,-0.8275900269055146,0.04729348115051443,0.05073237905597788,0.05063950585814006,0.050639289178322104,0.04729348115051443,0.05073227121224583,0.022926343588447383,-0.8216656303321404,0.05068468394008071,-0.9194928166093934,-0.9957060839834212,1.0,-0.008703952488107142,0.04789090251402978,0.045128146250709336,-0.99454941550084,-0.8665731416418869,0.046034733709534814,0.05081721052790392,-0.8778742154220979,-0.015059181091546334,0.050758701654430194,-0.013770452254431876,-0.004022468548102206
pfu_mes,0.07973505050258307,0.010486226946907035,0.009979183334830225,-0.07797248947759182,0.010486226946907035,0.009785940860260979,0.010486226946907035,-0.09425817585568885,-0.10159221849140107,-0.10133149051183382,-0.10133251249296606,-0.09425817585568885,-0.10159280835559961,0.00025615684617801666,0.006143282350680111,-0.10146286381920279,0.007904095857874171,0.008689623491895873,-0.008703952488107142,1.0,-0.08464891002161445,-0.046471458294926,0.00871372583843781,0.013436745232024119,-0.09666855664096873,-0.10150984666010396,0.009907808700438052,0.11502795531780882,-0.10119392318088602,0.14811913084152797,0.03906445027260191
